"id","entity-name","year","round"
"afdb","African Development Bank (AfDB)",2000,-405143629
"afdb","African Development Bank (AfDB)",2001,-106233350
"afdb","African Development Bank (AfDB)",2002,-1050451599
"afdb","African Development Bank (AfDB)",2003,-733671395
"afdb","African Development Bank (AfDB)",2004,-808871586
"afdb","African Development Bank (AfDB)",2005,-354113990
"afdb","African Development Bank (AfDB)",2006,-436852717
"afdb","African Development Bank (AfDB)",2007,105450451
"afdb","African Development Bank (AfDB)",2008,372017700
"afdb","African Development Bank (AfDB)",2009,2350100386
"afdb","African Development Bank (AfDB)",2010,1082500167
"afdb","African Development Bank (AfDB)",2011,1814266012
"afdb","African Development Bank (AfDB)",2012,2409458038
"afdb","African Development Bank (AfDB)",2013,958697053
"afdb","African Development Bank (AfDB)",2014,1563680939
"afdb","African Development Bank (AfDB)",2015,996800000
"all-donors-total","All Donors, Total",2000,
"all-donors-total","All Donors, Total",2001,
"all-donors-total","All Donors, Total",2002,
"all-donors-total","All Donors, Total",2003,
"all-donors-total","All Donors, Total",2004,
"all-donors-total","All Donors, Total",2005,
"all-donors-total","All Donors, Total",2006,
"all-donors-total","All Donors, Total",2007,
"all-donors-total","All Donors, Total",2008,
"all-donors-total","All Donors, Total",2009,
"all-donors-total","All Donors, Total",2010,
"all-donors-total","All Donors, Total",2011,
"all-donors-total","All Donors, Total",2012,
"all-donors-total","All Donors, Total",2013,
"all-donors-total","All Donors, Total",2014,
"all-donors-total","All Donors, Total",2015,
"badea","Arab Bank for Economic Development in Africa (BADEA)",2000,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2001,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2002,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2003,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2004,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2005,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2006,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2007,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2008,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2009,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2010,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2011,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2012,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2013,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2014,0
"badea","Arab Bank for Economic Development in Africa (BADEA)",2015,0
"arab-fund-afesd","Arab Fund (AFESD)",2000,0
"arab-fund-afesd","Arab Fund (AFESD)",2001,0
"arab-fund-afesd","Arab Fund (AFESD)",2002,0
"arab-fund-afesd","Arab Fund (AFESD)",2003,0
"arab-fund-afesd","Arab Fund (AFESD)",2004,0
"arab-fund-afesd","Arab Fund (AFESD)",2005,0
"arab-fund-afesd","Arab Fund (AFESD)",2006,0
"arab-fund-afesd","Arab Fund (AFESD)",2007,0
"arab-fund-afesd","Arab Fund (AFESD)",2008,0
"arab-fund-afesd","Arab Fund (AFESD)",2009,0
"arab-fund-afesd","Arab Fund (AFESD)",2010,0
"arab-fund-afesd","Arab Fund (AFESD)",2011,0
"arab-fund-afesd","Arab Fund (AFESD)",2012,0
"arab-fund-afesd","Arab Fund (AFESD)",2013,0
"arab-fund-afesd","Arab Fund (AFESD)",2014,0
"arab-fund-afesd","Arab Fund (AFESD)",2015,0
"asdb","Asian Development Bank (ADB)",2000,1452267254
"asdb","Asian Development Bank (ADB)",2001,2366707000
"asdb","Asian Development Bank (ADB)",2002,-340263259
"asdb","Asian Development Bank (ADB)",2003,-2873372200
"asdb","Asian Development Bank (ADB)",2004,-1550460404
"asdb","Asian Development Bank (ADB)",2005,1831390283
"asdb","Asian Development Bank (ADB)",2006,2789761671
"asdb","Asian Development Bank (ADB)",2007,3664733649
"asdb","Asian Development Bank (ADB)",2008,4202348326
"asdb","Asian Development Bank (ADB)",2009,5730393859
"asdb","Asian Development Bank (ADB)",2010,3036455877
"asdb","Asian Development Bank (ADB)",2011,2792825524
"asdb","Asian Development Bank (ADB)",2012,3606348646
"asdb","Asian Development Bank (ADB)",2013,1423872941
"asdb","Asian Development Bank (ADB)",2014,3475092740
"asdb","Asian Development Bank (ADB)",2015,6306270000
"AU","Australia",2000,1002593305
"AU","Australia",2001,-57725023
"AU","Australia",2002,-69401177
"AU","Australia",2003,-13129740
"AU","Australia",2004,-108478368
"AU","Australia",2005,-115544990
"AU","Australia",2006,233132731
"AU","Australia",2007,-23774712
"AU","Australia",2008,-110421820
"AU","Australia",2009,394483576
"AU","Australia",2010,228447140
"AU","Australia",2011,191361017
"AU","Australia",2012,239146695
"AU","Australia",2013,359355168
"AU","Australia",2014,120211016
"AU","Australia",2015,275480000
"AT","Austria",2000,113049137
"AT","Austria",2001,-208691520
"AT","Austria",2002,-53715845
"AT","Austria",2003,54006230
"AT","Austria",2004,-249097228
"AT","Austria",2005,328499079
"AT","Austria",2006,-460837337
"AT","Austria",2007,-576591323
"AT","Austria",2008,88270735
"AT","Austria",2009,-38194140
"AT","Austria",2010,-140504185
"AT","Austria",2011,25726307
"AT","Austria",2012,43771403
"AT","Austria",2013,390381634
"AT","Austria",2014,105476993
"AT","Austria",2015,-1090000
"BE","Belgium",2000,-13484995
"BE","Belgium",2001,10898727
"BE","Belgium",2002,153910649
"BE","Belgium",2003,1138981872
"BE","Belgium",2004,-98803667
"BE","Belgium",2005,407006040
"BE","Belgium",2006,-437135752
"BE","Belgium",2007,-146076334
"BE","Belgium",2008,-116037010
"BE","Belgium",2009,78038441
"BE","Belgium",2010,-13477622
"BE","Belgium",2011,-12411137
"BE","Belgium",2012,48566468
"BE","Belgium",2013,64517182
"BE","Belgium",2014,-37033092
"BE","Belgium",2015,-27720000
"CA","Canada",2000,7582957
"CA","Canada",2001,-158157721
"CA","Canada",2002,-687143534
"CA","Canada",2003,-500665872
"CA","Canada",2004,-998366247
"CA","Canada",2005,-606472365
"CA","Canada",2006,368398367
"CA","Canada",2007,-4023024
"CA","Canada",2008,1461848859
"CA","Canada",2009,-1127762675
"CA","Canada",2010,1177375642
"CA","Canada",2011,267659560
"CA","Canada",2012,143851154
"CA","Canada",2013,347917301
"CA","Canada",2014,473435861
"CA","Canada",2015,557460000
"cardb","Caribbean Development Bank (CarDB)",2000,66647755
"cardb","Caribbean Development Bank (CarDB)",2001,43179261
"cardb","Caribbean Development Bank (CarDB)",2002,78433611
"cardb","Caribbean Development Bank (CarDB)",2003,54771374
"cardb","Caribbean Development Bank (CarDB)",2004,127403599
"cardb","Caribbean Development Bank (CarDB)",2005,19033587
"cardb","Caribbean Development Bank (CarDB)",2006,36630410
"cardb","Caribbean Development Bank (CarDB)",2007,44248858
"cardb","Caribbean Development Bank (CarDB)",2008,26525441
"cardb","Caribbean Development Bank (CarDB)",2009,50939493
"cardb","Caribbean Development Bank (CarDB)",2010,124269406
"cardb","Caribbean Development Bank (CarDB)",2011,32068682
"cardb","Caribbean Development Bank (CarDB)",2012,-9301039
"cardb","Caribbean Development Bank (CarDB)",2013,-8959196
"cardb","Caribbean Development Bank (CarDB)",2014,-1157279
"cardb","Caribbean Development Bank (CarDB)",2015,34940000
"cif","Climate Investment Funds (CIF)",2000,0
"cif","Climate Investment Funds (CIF)",2001,0
"cif","Climate Investment Funds (CIF)",2002,0
"cif","Climate Investment Funds (CIF)",2003,0
"cif","Climate Investment Funds (CIF)",2004,0
"cif","Climate Investment Funds (CIF)",2005,0
"cif","Climate Investment Funds (CIF)",2006,0
"cif","Climate Investment Funds (CIF)",2007,0
"cif","Climate Investment Funds (CIF)",2008,0
"cif","Climate Investment Funds (CIF)",2009,0
"cif","Climate Investment Funds (CIF)",2010,0
"cif","Climate Investment Funds (CIF)",2011,0
"cif","Climate Investment Funds (CIF)",2012,0
"cif","Climate Investment Funds (CIF)",2013,61894992
"cif","Climate Investment Funds (CIF)",2014,49269572
"cif","Climate Investment Funds (CIF)",2015,0
"ceb","Council of Europe Development Bank (CEB)",2000,0
"ceb","Council of Europe Development Bank (CEB)",2001,0
"ceb","Council of Europe Development Bank (CEB)",2002,0
"ceb","Council of Europe Development Bank (CEB)",2003,0
"ceb","Council of Europe Development Bank (CEB)",2004,0
"ceb","Council of Europe Development Bank (CEB)",2005,0
"ceb","Council of Europe Development Bank (CEB)",2006,0
"ceb","Council of Europe Development Bank (CEB)",2007,0
"ceb","Council of Europe Development Bank (CEB)",2008,0
"ceb","Council of Europe Development Bank (CEB)",2009,0
"ceb","Council of Europe Development Bank (CEB)",2010,-85478102
"ceb","Council of Europe Development Bank (CEB)",2011,215965714
"ceb","Council of Europe Development Bank (CEB)",2012,-14472307
"ceb","Council of Europe Development Bank (CEB)",2013,98488132
"ceb","Council of Europe Development Bank (CEB)",2014,98503260
"ceb","Council of Europe Development Bank (CEB)",2015,71190000
"CZ","Czech Republic",2000,0
"CZ","Czech Republic",2001,0
"CZ","Czech Republic",2002,0
"CZ","Czech Republic",2003,0
"CZ","Czech Republic",2004,0
"CZ","Czech Republic",2005,0
"CZ","Czech Republic",2006,0
"CZ","Czech Republic",2007,0
"CZ","Czech Republic",2008,0
"CZ","Czech Republic",2009,0
