id-to,year,round
america,1978,0.00
america,1980,0.00
america,1982,0.00
america,2010,548924689.89
america,2011,547017546.65
america,2012,548825485.64
america,2013,753653010.39
america,2014,616421827.92
america,2015,791000000.00
AR,1978,0.00
AR,1979,0.00
AR,1982,0.00
AR,1984,0.00
AR,1991,0.00
AR,1992,0.00
AR,1994,0.00
AR,1995,0.00
AR,1998,0.00
AR,2009,6816455.00
AR,2010,6241448.55
AR,2011,5839621.20
AR,2012,5305207.34
AR,2013,5419737.60
AR,2014,4870345.66
AR,2015,570560.00
BB,1977,0.00
BB,1979,0.00
BB,1980,0.00
BB,1981,0.00
BB,1984,0.00
BB,1985,0.00
BB,2009,366116.52
BB,2010,1772717.51
BO,1977,0.00
BO,1978,0.00
BO,1979,0.00
BO,1980,0.00
BO,1982,0.00
BO,1983,0.00
BO,1984,0.00
BO,1987,0.00
BO,1988,0.00
BO,1989,0.00
BO,1990,0.00
BO,1992,0.00
BO,1993,0.00
BO,1994,0.00
BO,1995,0.00
BO,1996,0.00
BO,1997,0.00
BO,1998,0.00
BO,1999,0.00
BO,2000,0.00
BO,2001,0.00
BO,2002,0.00
BO,2003,0.00
BO,2004,0.00
BO,2005,0.00
BO,2006,0.00
BO,2007,0.00
BO,2008,0.00
BO,2009,99686976.37
BO,2010,156586824.76
BO,2011,164305853.91
BO,2012,189735529.90
BO,2013,245192434.92
BO,2014,278866447.43
BO,2015,337151630.00
BR,1977,0.00
BR,1978,0.00
BR,1979,0.00
BR,1980,0.00
BR,1981,0.00
BR,1982,0.00
BR,1983,0.00
BR,1984,0.00
BR,1985,0.00
BR,1986,0.00
BR,1987,0.00
BR,1988,0.00
BR,1989,0.00
BR,1990,0.00
BR,1991,0.00
BR,1992,0.00
BR,1993,0.00
BR,1995,0.00
BR,1999,0.00
BR,2009,14918157.54
BR,2010,13936695.01
BR,2011,14311521.82
BR,2012,12898744.57
BR,2013,9405193.38
BR,2014,12030896.61
BR,2015,4030140.00
BZ,2009,695354.46
BZ,2010,763865.36
BZ,2011,821625.67
BZ,2012,1248556.20
