id,sectoral,level,name
financing,FALSE,1,Financing
total-expenditure,FALSE,1,Total Expenditure
total-revenue-and-grants,FALSE,1,Total Revenue and Grants
adjustment-for-heavily-indebted-poor-countriesmultilateral-debt-relief-initiative-debt-relief,FALSE,2,Adjustment for Heavily Indebted Poor CountriesMultilateral Debt Relief Initiative Debt Relief
adjustment-for-net-withheld-adjara-transfers,FALSE,2,Adjustment for Net Withheld Adjara Transfers
banking-system-restructuring,FALSE,2,Banking System Restructuring
borrowing,FALSE,2,Borrowing
budget-support,FALSE,2,Budget Support
capita-expenditure,FALSE,2,Capita Expenditure
capital,FALSE,2,Capital
capital-excluding-fiji-sugar-corporation,FALSE,2,Capital (Excluding Fiji Sugar Corporation)
capital-excluding-fiji-sugar-corporation,FALSE,2,Capital Excluding Fiji Sugar Corporation
capital-expenditure,FALSE,2,Capital Expenditure
capital-expenditure-and-net-lending,FALSE,2,Capital Expenditure and Net Lending
capital-revenue-and-grants,FALSE,2,Capital Revenue and Grants
carry-over-expenditure,FALSE,2,Carry Over Expenditure
cash-basis-adjustment,FALSE,2,Cash Basis Adjustment
cash-float-and-discrepancy,FALSE,2,Cash Float and Discrepancy
change-in-arrears,FALSE,2,Change in Arrears
change-in-outstanding-letters-of-credit,FALSE,2,Change in Outstanding Letters of Credit
change-in-social-fund-cash-balance,FALSE,2,Change in Social Fund Cash Balance
check-float-plus-discrepancy,FALSE,2,Check float Plus Discrepancy
commercial-borrowing,FALSE,2,Commercial Borrowing
consolidated-fund,FALSE,2,Consolidated Fund
consolidated-investment-fund,FALSE,2,Consolidated Investment Fund
current-expenditure,FALSE,2,Current Expenditure
debt-rescheduling,FALSE,2,Debt Rescheduling
development-expenditure,FALSE,2,Development Expenditure
development-expenditure-and-net-lending,FALSE,2,Development Expenditure And Net Lending
development-fund,FALSE,2,Development Fund
discrepancy,FALSE,2,Discrepancy
domestic-arrears-payments,FALSE,2,Domestic Arrears Payments
domestic-financing,FALSE,2,Domestic Financing
donor-project,FALSE,2,Donor Project
errors-and-omissions,FALSE,2,Errors and Omissions
estimated-sustainable-income,FALSE,2,Estimated Sustainable Income
exceptional-financing,FALSE,2,Exceptional Financing
external-finance,FALSE,2,External Finance
external-financing,FALSE,2,External Financing
extrabudgetary-expenditure,FALSE,2,Extrabudgetary Expenditure
extrabudgetary-funds,FALSE,2,Extrabudgetary Funds
federal-government-exoenditure,FALSE,2,Federal Government Exoenditure
fiji-sugar-corporation-fsc,FALSE,2,Fiji Sugar Corporation Fsc
foreign-financed-capital-spending,FALSE,2,Foreign-Financed Capital Spending
grants,FALSE,2,Grants
heavily-indebted-poor-countries-initiative-funded-expenditure,FALSE,2,Heavily Indebted Poor Countries Initiative Funded Expenditure
heavily-indebted-poor-countries-interim-relief,FALSE,2,Heavily Indebted Poor Countries Interim Relief
increase-in-expenditure-arrears,FALSE,2,Increase in Expenditure Arrears
increase-in-principal-debt-arrears,FALSE,2,Increase in Principal Debt Arrears
interest-due,FALSE,2,Interest Due
interest-on-deposits,FALSE,2,Interest on Deposits
investment-expenditure,FALSE,2,Investment Expenditure
investment-expenditures,FALSE,2,Investment Expenditures
national-bank-of-the-kyrgyz-republic-spending,FALSE,2,National Bank of The Kyrgyz Republic spending
net-acquisition-of-nonfinancial-assets,FALSE,2,Net Acquisition of Nonfinancial Assets
net-domestic,FALSE,2,Net Domestic
net-domestic-finance,FALSE,2,Net Domestic Finance
net-domestic-financing,FALSE,2,Net Domestic Financing
net-errors-and-omissions,FALSE,2,Net Errors and Omissions
net-external-finance,FALSE,2,Net External Finance
net-external-financing,FALSE,2,Net External Financing
ney-domestic-finance,FALSE,2,Ney Domestic Finance
