id,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
adaptation-fund,2014,environment,1,8678284.90,41050,Flood prevention/control,2,901589.46
adaptation-fund,2014,environment,1,8678284.90,41010,Environmental policy and admin. mgmt,1,7776695.44
adaptation-fund,2014,other,2,3146352.74,43040,Rural development,1,3146352.74
adaptation-fund,2014,water-and-sanitation,3,1265139.31,14015,Water resources protection,1,1265139.31
afdb,2014,agriculture-and-food-security,3,2397278.41,31161,Food crop production,3,277666.03
afdb,2014,agriculture-and-food-security,3,2397278.41,31140,Agricultural water resources,1,1437011.27
afdb,2014,agriculture-and-food-security,3,2397278.41,31110,Agricultural policy & administrative management,2,509356.52
afdb,2014,agriculture-and-food-security,3,2397278.41,31182,Agricultural research,4,173244.59
afdb,2014,debt-relief,1,123105264.46,60020,Debt forgiveness,1,123105264.46
afdb,2014,governance-and-security,5,1403871.89,15110,Public sector policy and administrative management,1,1403871.89
afdb,2014,other,4,1859240.89,43010,Multisector aid,1,1859240.89
afdb,2014,water-and-sanitation,2,2859446.33,14040,River basins development,3,215930.43
afdb,2014,water-and-sanitation,2,2859446.33,14022,Sanitation - large systems,2,376151.69
afdb,2014,water-and-sanitation,2,2859446.33,14010,Water resources policy/administrative management,1,2267364.21
afdf,2014,agriculture-and-food-security,5,168246170.41,0,Other,6,38211013.14
afdf,2014,agriculture-and-food-security,5,168246170.41,31182,Agricultural research,4,15177982.86
afdf,2014,agriculture-and-food-security,5,168246170.41,31191,Agricultural services,3,19285034.63
afdf,2014,agriculture-and-food-security,5,168246170.41,31140,Agricultural water resources,2,23607744.43
afdf,2014,agriculture-and-food-security,5,168246170.41,31110,Agricultural policy & administrative management,1,61252041.45
afdf,2014,agriculture-and-food-security,5,168246170.41,31163,Livestock,5,10712353.91
afdf,2014,general-budget-support,3,213797807.06,51010,General budget support-related aid,1,213797807.06
afdf,2014,infrastructure,1,840068766.11,23260,Geothermal energy,3,29727049.79
afdf,2014,infrastructure,1,840068766.11,21020,Road transport,1,612187211.94
afdf,2014,infrastructure,1,840068766.11,23630,Electric power transmission and distribution,2,156114221.99
afdf,2014,infrastructure,1,840068766.11,21050,Air transport,4,29227481.14
afdf,2014,infrastructure,1,840068766.11,23110,Energy policy and administrative management,5,8766846.25
afdf,2014,infrastructure,1,840068766.11,0,Other,6,4045955.00
