series,id,type,parent,name,columns,description,default-scale,themes,map-theme,theme-order,global-picture-color-ramp,uom,uom_display,source,calculation,format,highorlow,range,interpolated,missing-donor,missing-recipient,laymans-decription,laymans-heading,source-link,staging,theme-year
country-year,adult-literacy,simple,,"Literacy rate, adult total (% of people ages 15 and above)","id, year, value, original-value","Literacy rate, adult total (% of people ages 15 and above)",lin,education,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,1,NA,NA,,,,,
country-year,dac-oda-percent-gni,simple,,"Net ODA provided by DAC members, % of GNI","id, year, value","Net ODA provided by DAC members, % of GNI",lin,official,,,darkpurple,percent,%,OECD DAC,,,lowisbetter,"0.05, 0.10, 0.25, 0.5, 0.7",,NA,NR,"Net official development assistance (ODA) provided by members of the OECD Development Assistance Committee (DAC), expressed as a percentage of gross national income (GNI).","Net ODA provided by DAC members, % of GNI",,,
country-year,dac-oda-to-ldcs-pc-gni,simple,,"Gross ODA provided by DAC members to LDCs, % of GNI","id, year, value",Gross DAC ODA to LDCs as a percent of GNI,lin,official,,,darkpurple,percent,%,Development Initiatives based on OECD DAC,,,lowisbetter,"0.02, 0.04, 0.08, 0.15, 0.2",,NA,NR,"Net official development assistance (ODA) to least-developed countries (LDCs) provided by members of the OECD Development Assistance Committee (DAC), expressed as a percentage of gross national income.","Gross ODA provided by DAC members to LDCs, % of GNI",,,
country-year,depth-of-extreme-poverty,simple,,,,,,poorest20pct,,,,,,,,,,,,,,,,,,
country-year,domestic-netlending,multi,,Government finance by economic type (with reported net-lending values),"id, year,budget-type,l1,l2,l3,l4,l5,l6,value, value-ncu",Government finance by economic type with net lending values as reported by recipient,lin,dpf,,,,"constant 2012 US$, NCU","constant 2012 US$, NCU",Development Initiatives based on IMF Staff reports,,,,,,NR,NA,,,,,
country-year,education-pc-transferred-oda,simple,,Proportion of transferred Official Development Assistance spent on education,"id, year, value","Education ODA as a % of total ODA, excluding non-transfer",lin,education,,,,percent,%,Development Initiatives based on OECD-DAC data,,,,,,NR,NA,,,,,
country-year,employment-agriculture,embedded,employment-by-sector,% of workforce employed in agriculture,"id, year, value, original-value",% of workforce employed in agriculture,lin,employment,,,,percent,%,World Bank World Development Indicators,,,,,1,NA,NA,,,,,
country-year,employment-by-sector,composite,,Employment % by sector,"id, year, employment-agriculture, employment-industry, employment-services, original-employment-agriculture, original-employment-industry, original-employment-services","Percentage employment in agriculture, industry & services",lin,employment,,,,percent,%,World Bank World Development Indicators,,,,,1,NA,NA,,,,,
country-year,employment-industry,embedded,employment-by-sector,% of workforce employed in industry,"id, year, value, original-value",% of workforce employed in industry,lin,employment,,,,percent,%,World Bank World Development Indicators,,,,,1,NA,NA,,,,,
country-year,employment-services,embedded,employment-by-sector,% of workforce employed in services,"id, year, value, original-value",% of workforce employed in services,lin,employment,,,,percent,%,World Bank World Development Indicators,,,,,1,NA,NA,,,,,
country-year,evi,simple,,Economic vulnerability index,"id, year, value",Economic vulnerability index,lin,,,,,index,,,,,,,,NA,NA,,,,,
country-year,gdp-current-ncu-fy,simple,,Gross domestic product in current National Currency Units as corresponding to Fiscal Year,"id, year, estimate, value",GDP in current National Currency Units as corresponding to Fiscal Year,log,,,,,NCU,NCU,International Monetary Fund World Economic Outlook,,,highisbetter,,,NA,NA,,,,,
country-year,gdp-growth,simple,,Annual percentage growth rate of GDP at market prices based on constant local currency,"id, year, value",Annual percentage growth rate of GDP at market prices based on constant local currency.,log,,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,,NA,NA,Annual percentage growth rate of GDP at market prices based on constant local currency.,,,,
country-year,gdp-pc-usd-2005,simple,,Gross domestic product (2005 US$) per capita,"id, year, value",GDP (constant 2005 US$) per capita,log,,,,,US$,US$,Development Initiatives calculations based on World Bank World Development Indicators,Total GDP divided by the population of each country in each year.,,highisbetter,,,NA,NA,,,,,
country-year,gdp-pc-usd-current,simple,,Gross domestic product (current US$) per capita,"id, year, value",GDP (current US$) per capita,log,,,,,US$,US$,World Bank World Development Indicators,Total GDP divided by the population of each country in each year.,,highisbetter,,,NA,NA,,,,,
