"di_id","entity_name","row_id","year","direction","flow_type","flow_name","value"
"AF","Afghanistan",51746,2000,"in","official","oda-in",204460182.4
"AF","Afghanistan",82120,2000,"in","commercial","long-debt-disbursement-in",
"AF","Afghanistan",63431,2000,"out","official","oofs-capital-payments-out",0
"AF","Afghanistan",91497,2000,"out","commercial","short-debt-interest-out",
"AF","Afghanistan",75120,2000,"in","commercial","fdi-in",
"AF","Afghanistan",86807,2000,"out","commercial","long-debt-comm-int-out",
"AF","Afghanistan",93840,2000,"in","commercial","net-portfolio-equity-in",
"AF","Afghanistan",58767,2000,"in","official","oofs-in",0
"AF","Afghanistan",70440,2000,"out","official","long-debt-off-amt-out",
"AF","Afghanistan",89152,2000,"in","commercial","short-debt-net-flow-in",
"AF","Afghanistan",54083,2000,"out","official","oda-interest-payments-out",0
"AF","Afghanistan",98521,2000,"out","private","remittances-out",
"AF","Afghanistan",77452,2000,"out","commercial","fdi-out",
"AF","Afghanistan",84462,2000,"out","commercial","long-debt-comm-amt-out",
"AF","Afghanistan",65771,2000,"out","official","ssc-out",
"AF","Afghanistan",61090,2000,"out","official","oofs-interest-payments-out",0
"AF","Afghanistan",68098,2000,"in","official","long-debt-net-official-in",
"AF","Afghanistan",79778,2000,"out","commercial","fdi-in-profits-out",
"AF","Afghanistan",56424,2000,"out","official","oda-capital-payments-out",0
"AF","Afghanistan",96182,2000,"in","private","remittances-in",
"AF","Afghanistan",72779,2000,"out","official","long-debt-off-int-out",
"AF","Afghanistan",72925,2001,"out","official","long-debt-off-int-out",
"AF","Afghanistan",84608,2001,"out","commercial","long-debt-comm-amt-out",
"AF","Afghanistan",68245,2001,"in","official","long-debt-net-official-in",
"AF","Afghanistan",79924,2001,"out","commercial","fdi-in-profits-out",
"AF","Afghanistan",58914,2001,"in","official","oofs-in",0
"AF","Afghanistan",70586,2001,"out","official","long-debt-off-amt-out",
"AF","Afghanistan",61237,2001,"out","official","oofs-interest-payments-out",0
"AF","Afghanistan",51892,2001,"in","official","oda-in",636044444.6
"AF","Afghanistan",96329,2001,"in","private","remittances-in",
"AF","Afghanistan",54229,2001,"out","official","oda-interest-payments-out",0
"AF","Afghanistan",75266,2001,"in","commercial","fdi-in",
"AF","Afghanistan",86953,2001,"out","commercial","long-debt-comm-int-out",
"AF","Afghanistan",93987,2001,"in","commercial","net-portfolio-equity-in",
"AF","Afghanistan",82267,2001,"in","commercial","long-debt-disbursement-in",
"AF","Afghanistan",63577,2001,"out","official","oofs-capital-payments-out",0
"AF","Afghanistan",56571,2001,"out","official","oda-capital-payments-out",0
"AF","Afghanistan",98665,2001,"out","private","remittances-out",
"AF","Afghanistan",91643,2001,"out","commercial","short-debt-interest-out",
"AF","Afghanistan",65908,2001,"out","official","ssc-out",
"AF","Afghanistan",89298,2001,"in","commercial","short-debt-net-flow-in",
"AF","Afghanistan",77597,2001,"out","commercial","fdi-out",
"AF","Afghanistan",68391,2002,"in","official","long-debt-net-official-in",0
"AF","Afghanistan",87100,2002,"out","commercial","long-debt-comm-int-out",0
"AF","Afghanistan",59060,2002,"in","official","oofs-in",0
"AF","Afghanistan",70732,2002,"out","official","long-debt-off-amt-out",0
"AF","Afghanistan",82414,2002,"in","commercial","long-debt-disbursement-in",0
"AF","Afghanistan",98809,2002,"out","private","remittances-out",
"AF","Afghanistan",54377,2002,"out","official","oda-interest-payments-out",8900972.462
"AF","Afghanistan",66054,2002,"out","official","ssc-out",
"AF","Afghanistan",84755,2002,"out","commercial","long-debt-comm-amt-out",0
"AF","Afghanistan",56717,2002,"out","official","oda-capital-payments-out",18662398.11
"AF","Afghanistan",94134,2002,"in","commercial","net-portfolio-equity-in",
"AF","Afghanistan",80070,2002,"out","commercial","fdi-in-profits-out",
"AF","Afghanistan",61383,2002,"out","official","oofs-interest-payments-out",0
"AF","Afghanistan",89446,2002,"in","commercial","short-debt-net-flow-in",
"AF","Afghanistan",63723,2002,"out","official","oofs-capital-payments-out",0
"AF","Afghanistan",75412,2002,"in","commercial","fdi-in",88246027.95
"AF","Afghanistan",52038,2002,"in","official","oda-in",1884992565
"AF","Afghanistan",96474,2002,"in","private","remittances-in",
"AF","Afghanistan",73071,2002,"out","official","long-debt-off-int-out",0
"AF","Afghanistan",77743,2002,"out","commercial","fdi-out",
"AF","Afghanistan",91790,2002,"out","commercial","short-debt-interest-out",
