"series","country-year"
"id","maternal-mortality"
"type","simple"
"parent",
"name","Maternal mortality rate (per 100,000 live births)"
"columns","id, year, value, original-value"
"description","Maternal mortality rate (per 100,000 live births)"
"default-scale","lin"
"theme","health"
"theme-order",
"global-picture-color-ramp",
"uom","unit"
"uom_display",
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","lowisbetter"
"range",
"interpolated","1"
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
