channel-code,channel-name,parent,donor-code,donor-name,rank,aid-to-or-through,year,total-oda-from-donor-to-channel,total-oda-from-donor-to-channel-parent
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,742,Korea,2,Earmarked contributions through,2014,512960.71,512960.71
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,8,Norway,1,Earmarked contributions through,2014,1933018.62,1933018.62
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,10,Sweden,9,Earmarked contributions through,2014,0.00,0.00
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,50,Spain,8,Earmarked contributions through,2014,19260.96,19260.96
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,40,Greece,7,Earmarked contributions through,2014,24610.22,24610.22
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,61,Slovenia,6,Earmarked contributions through,2014,52495.22,52495.22
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,6,Italy,5,Earmarked contributions through,2014,127102.60,127102.60
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,68,Czech Republic,4,Earmarked contributions through,2014,246411.53,246411.53
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,918,EU Institutions,3,Earmarked contributions through,2014,419593.54,436088.93
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,918,EU Institutions,2,Earmarked contributions through,2014,31576423.52,31576423.52
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,12,United Kingdom,1,Earmarked contributions through,2014,49201567.13,49201567.13
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,6,Italy,9,Earmarked contributions through,2014,1891513.21,1891513.21
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,3,Denmark,8,Earmarked contributions through,2014,2038343.53,2038343.53
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,8,Norway,7,Earmarked contributions through,2014,3499430.28,3499430.28
