id,parent,channel,year,value
adaptation-fund,Adaptation Fund,Multilateral Institutions,2015,0.00
adaptation-fund,Adaptation Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
adaptation-fund,Adaptation Fund,Other,2015,0.00
adaptation-fund,Adaptation Fund,Public-private partnerships,2015,0.00
adaptation-fund,Adaptation Fund,Public sector,2015,0.00
adaptation-fund,Adaptation Fund,To be defined,2015,0.00
afdb,African Development Bank and Fund,Multilateral Institutions,2015,0.00
afdb,African Development Bank and Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
afdb,African Development Bank and Fund,Other,2015,167650.00
afdb,African Development Bank and Fund,Public-private partnerships,2015,0.00
afdb,African Development Bank and Fund,Public sector,2015,123564320.00
afdb,African Development Bank and Fund,To be defined,2015,0.00
afdf,African Development Bank and Fund,Multilateral Institutions,2015,0.00
afdf,African Development Bank and Fund,Non-governmental organisations (NGOs) and civil society,2015,0.00
afdf,African Development Bank and Fund,Other,2015,0.00
afdf,African Development Bank and Fund,Public-private partnerships,2015,0.00
afdf,African Development Bank and Fund,Public sector,2015,2158559990.00
afdf,African Development Bank and Fund,To be defined,2015,0.00
arab-fund-afesd,Arab Fund,Multilateral Institutions,2015,83111.70
arab-fund-afesd,Arab Fund,Non-governmental organisations (NGOs) and civil society,2015,4729123.90
arab-fund-afesd,Arab Fund,Other,2015,108794264.10
arab-fund-afesd,Arab Fund,Public-private partnerships,2015,0.00
arab-fund-afesd,Arab Fund,Public sector,2015,125220328.70
arab-fund-afesd,Arab Fund,To be defined,2015,379.55
asdb,Asian Development Bank,Multilateral Institutions,2015,0.00
asdb,Asian Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
asdb,Asian Development Bank,Other,2015,0.00
asdb,Asian Development Bank,Public-private partnerships,2015,0.00
asdb,Asian Development Bank,Public sector,2015,0.00
asdb,Asian Development Bank,To be defined,2015,0.00
asdb-special-funds,Asian Development Bank,Multilateral Institutions,2015,0.00
asdb-special-funds,Asian Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
asdb-special-funds,Asian Development Bank,Other,2015,3989380.00
asdb-special-funds,Asian Development Bank,Public-private partnerships,2015,0.00
asdb-special-funds,Asian Development Bank,Public sector,2015,2695543630.00
asdb-special-funds,Asian Development Bank,To be defined,2015,0.00
badea,Arab Bank for Economic Development in Africa,Multilateral Institutions,2015,1802873.70
badea,Arab Bank for Economic Development in Africa,Non-governmental organisations (NGOs) and civil society,2015,0.00
badea,Arab Bank for Economic Development in Africa,Other,2015,0.00
badea,Arab Bank for Economic Development in Africa,Public-private partnerships,2015,0.00
badea,Arab Bank for Economic Development in Africa,Public sector,2015,123766019.42
badea,Arab Bank for Economic Development in Africa,To be defined,2015,0.00
cardb,Caribbean Development Bank,Multilateral Institutions,2015,57146937.30
cardb,Caribbean Development Bank,Non-governmental organisations (NGOs) and civil society,2015,0.00
cardb,Caribbean Development Bank,Other,2015,0.00
cardb,Caribbean Development Bank,Public-private partnerships,2015,0.00
cardb,Caribbean Development Bank,Public sector,2015,0.00
cardb,Caribbean Development Bank,To be defined,2015,0.00
ceb,Council of Europe Development Bank,Multilateral Institutions,2015,2662225.00
ceb,Council of Europe Development Bank,Non-governmental organisations (NGOs) and civil society,2015,21076.00
ceb,Council of Europe Development Bank,Other,2015,1852469.40
ceb,Council of Europe Development Bank,Public-private partnerships,2015,0.00
ceb,Council of Europe Development Bank,Public sector,2015,49605137.00
ceb,Council of Europe Development Bank,To be defined,2015,0.00
cif,Climate Investment Funds,Multilateral Institutions,2015,247439370.00
cif,Climate Investment Funds,Non-governmental organisations (NGOs) and civil society,2015,0.00
cif,Climate Investment Funds,Other,2015,0.00
cif,Climate Investment Funds,Public-private partnerships,2015,0.00
cif,Climate Investment Funds,Public sector,2015,0.00
cif,Climate Investment Funds,To be defined,2015,0.00
ebrd,European Bank for Reconstruction and Development,Multilateral Institutions,2015,0.00
ebrd,European Bank for Reconstruction and Development,Non-governmental organisations (NGOs) and civil society,2015,0.00
ebrd,European Bank for Reconstruction and Development,Other,2015,0.00
ebrd,European Bank for Reconstruction and Development,Public-private partnerships,2015,0.00
ebrd,European Bank for Reconstruction and Development,Public sector,2015,0.00
ebrd,European Bank for Reconstruction and Development,To be defined,2015,0.00
EU,EU Institutions,Multilateral Institutions,2015,2511638494.57
EU,EU Institutions,Non-governmental organisations (NGOs) and civil society,2015,1807755568.10
EU,EU Institutions,Other,2015,2197899518.69
EU,EU Institutions,Public-private partnerships,2015,51701875.05
EU,EU Institutions,Public sector,2015,8986131970.59
EU,EU Institutions,To be defined,2015,0.00
fao,Food and Agriculture Organisation,Multilateral Institutions,2015,0.00
fao,Food and Agriculture Organisation,Non-governmental organisations (NGOs) and civil society,2015,0.00
fao,Food and Agriculture Organisation,Other,2015,0.00
fao,Food and Agriculture Organisation,Public-private partnerships,2015,0.00
fao,Food and Agriculture Organisation,Public sector,2015,0.00
fao,Food and Agriculture Organisation,To be defined,2015,0.00
