channel-code,channel-name,parent,donor-code,donor-name,rank,aid-to-or-through,year,total-oda-from-donor-to-channel,total-oda-from-donor-to-channel-parent
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,742,Korea,8,Core contributions to,2014,2535642.20,5439765.69
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,302,United States,1,Core contributions to,2014,22198400.12,53652832.42
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,5,Germany,3,Core contributions to,2014,5890001.42,15563032.61
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,4,France,4,Core contributions to,2014,4728195.02,12572337.87
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,701,Japan,2,Core contributions to,2014,15298413.94,35957757.44
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,6,Italy,5,Core contributions to,2014,3526058.93,9653699.84
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,0,Other,11,Core contributions to,2014,6532207.54,15020915.29
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,301,Canada,6,Core contributions to,2014,2870615.07,7536792.70
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,801,Australia,10,Core contributions to,2014,4178712.22,4178712.22
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,7,Netherlands,4,Core contributions to,2014,23903987.73,23903987.73
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,0,Other,11,Core contributions to,2014,16326397.27,16326397.27
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,12,United Kingdom,1,Core contributions to,2014,78130743.96,78130743.96
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,302,United States,2,Core contributions to,2014,34298877.72,34298877.72
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,6,Italy,3,Core contributions to,2014,32701422.08,32701422.08
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,5,Germany,5,Core contributions to,2014,22683766.05,22683766.05
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,8,Norway,6,Core contributions to,2014,14997558.36,14997558.36
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,4,France,7,Core contributions to,2014,14835140.20,14835140.20
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,301,Canada,8,Core contributions to,2014,12122529.87,12122529.87
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,11,Switzerland,9,Core contributions to,2014,10204766.69,10204766.69
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,2,Belgium,10,Core contributions to,2014,10078550.40,10078550.40
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,801,Australia,9,Core contributions to,2014,7335691.90,7335691.90
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,0,Other,11,Core contributions to,2014,21798496.60,21798496.60
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,2,Belgium,10,Core contributions to,2014,5858157.42,5858157.42
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,302,United States,1,Core contributions to,2014,48345971.47,48345971.47
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,10,Sweden,2,Core contributions to,2014,33128609.37,33128609.37
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,8,Norway,3,Core contributions to,2014,29161919.02,29161919.02
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,7,Netherlands,4,Core contributions to,2014,25162092.34,25162092.34
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,12,United Kingdom,5,Core contributions to,2014,22919984.69,22919984.69
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,18,Finland,6,Core contributions to,2014,11834999.22,11834999.22
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,11,Switzerland,7,Core contributions to,2014,10741859.67,10741859.67
