channel-code,channel-name,parent,donor-code,donor-name,rank,aid-to-or-through,year,total-oda-from-donor-to-channel,total-oda-from-donor-to-channel-parent
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,87,Russia,7,Core contributions to,2015,1801000.00,4778524.00
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,6,Italy,6,Core contributions to,2015,2909253.47,8521346.94
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,302,United States,1,Core contributions to,2015,18986978.00,62832552.00
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,701,Japan,2,Core contributions to,2015,8073688.30,21680364.28
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,5,Germany,3,Core contributions to,2015,5322068.77,14279040.71
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,12,United Kingdom,4,Core contributions to,2015,4169937.36,11222747.14
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,0,Other,11,Core contributions to,2015,5859011.74,19204446.33
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,301,Canada,5,Core contributions to,2015,7209755.14,11039211.14
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,50,Spain,10,Core contributions to,2015,110926.23,3846276.98
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,4,France,9,Core contributions to,2015,4168607.88,4168607.88
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,742,Korea,8,Core contributions to,2015,2036009.00,4463730.00
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,4,France,5,Core contributions to,2015,12867443.15,12867443.15
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,302,United States,4,Core contributions to,2015,18000000.00,18000000.00
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,0,Other,11,Core contributions to,2015,14168956.35,14168956.35
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,7,Netherlands,3,Core contributions to,2015,20521353.30,20521353.30
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,701,Japan,2,Core contributions to,2015,24392545.02,24392545.02
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,6,Italy,1,Core contributions to,2015,30010783.14,30010783.14
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,18,Finland,10,Core contributions to,2015,4437049.36,4437049.36
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,2,Belgium,9,Core contributions to,2015,8874098.72,8874098.72
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,301,Canada,8,Core contributions to,2015,9778612.22,9778612.22
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,11,Switzerland,7,Core contributions to,2015,9872181.23,9872181.23
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,8,Norway,6,Core contributions to,2015,11160299.10,11160299.10
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,8,Norway,5,Core contributions to,2015,21700581.58,21700581.58
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,3,Denmark,8,Core contributions to,2015,6691051.83,6691051.83
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,801,Australia,9,Core contributions to,2015,5635284.39,5635284.39
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,18,Finland,7,Core contributions to,2015,8874098.72,8874098.72
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,7,Netherlands,4,Core contributions to,2015,22185246.81,22185246.81
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,0,Other,11,Core contributions to,2015,10116612.73,10116612.73
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,12,United Kingdom,3,Core contributions to,2015,22918258.21,22918258.21
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,22,Luxembourg,10,Core contributions to,2015,5158069.88,5158069.88
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,2,Belgium,10,Core contributions to,2015,5158069.88,5158069.88
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,11,Switzerland,6,Core contributions to,2015,10391769.72,10391769.72
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,10,Sweden,2,Core contributions to,2015,23726762.60,23726762.60
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,302,United States,1,Core contributions to,2015,60091854.00,60091854.00
41114,United Nations Development Programme,United Nations Development Programme,12,United Kingdom,2,Core contributions to,2015,84033613.45,84033613.45
41114,United Nations Development Programme,United Nations Development Programme,0,Other,11,Core contributions to,2015,104629361.57,104629361.57
41114,United Nations Development Programme,United Nations Development Programme,10,Sweden,1,Core contributions to,2015,114481629.55,114481629.55
41114,United Nations Development Programme,United Nations Development Programme,302,United States,3,Core contributions to,2015,80000000.00,80000000.00
41114,United Nations Development Programme,United Nations Development Programme,8,Norway,4,Core contributions to,2015,78122093.67,78122093.67
41114,United Nations Development Programme,United Nations Development Programme,701,Japan,5,Core contributions to,2015,68315830.00,68315830.00
41114,United Nations Development Programme,United Nations Development Programme,301,Canada,6,Core contributions to,2015,66494563.09,66494563.09
41114,United Nations Development Programme,United Nations Development Programme,11,Switzerland,7,Core contributions to,2015,62350618.31,62350618.31
41114,United Nations Development Programme,United Nations Development Programme,3,Denmark,8,Core contributions to,2015,51298064.06,51298064.06
41114,United Nations Development Programme,United Nations Development Programme,7,Netherlands,9,Core contributions to,2015,29688676.98,29688676.98
41114,United Nations Development Programme,United Nations Development Programme,5,Germany,10,Core contributions to,2015,24847476.43,24847476.43
41119,United Nations Population Fund,United Nations Population Fund,18,Finland,4,Core contributions to,2015,37215751.53,37215751.53
41119,United Nations Population Fund,United Nations Population Fund,10,Sweden,1,Core contributions to,2015,57537399.31,57537399.31
41119,United Nations Population Fund,United Nations Population Fund,11,Switzerland,10,Core contributions to,2015,16626831.55,16626831.55
41119,United Nations Population Fund,United Nations Population Fund,701,Japan,9,Core contributions to,2015,18088990.00,18088990.00
41119,United Nations Population Fund,United Nations Population Fund,3,Denmark,8,Core contributions to,2015,20816605.70,20816605.70
41119,United Nations Population Fund,United Nations Population Fund,302,United States,5,Core contributions to,2015,30840000.00,30840000.00
41119,United Nations Population Fund,United Nations Population Fund,12,United Kingdom,6,Core contributions to,2015,30557677.62,30557677.62
41119,United Nations Population Fund,United Nations Population Fund,8,Norway,2,Core contributions to,2015,53445432.34,53445432.34
41119,United Nations Population Fund,United Nations Population Fund,5,Germany,7,Core contributions to,2015,21075984.47,21075984.47
41119,United Nations Population Fund,United Nations Population Fund,0,Other,11,Core contributions to,2015,46608881.00,46608881.00
41119,United Nations Population Fund,United Nations Population Fund,7,Netherlands,3,Core contributions to,2015,38824181.92,38824181.92
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,8,Norway,4,Core contributions to,2015,37200996.99,37200996.99
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,7,Netherlands,5,Core contributions to,2015,36605657.24,36605657.24
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,3,Denmark,6,Core contributions to,2015,23790406.52,23790406.52
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,701,Japan,7,Core contributions to,2015,18125919.92,18125919.92
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,18,Finland,8,Core contributions to,2015,16084303.94,16084303.94
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,10,Sweden,1,Core contributions to,2015,160748816.63,160748816.63
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,12,United Kingdom,2,Core contributions to,2015,53475935.83,53475935.83
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,801,Australia,9,Core contributions to,2015,15778796.30,15778796.30
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,11,Switzerland,10,Core contributions to,2015,15587654.58,15587654.58
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,4,France,3,Core contributions to,2015,40352745.42,40352745.42
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,0,Other,11,Core contributions to,2015,50726960.09,50726960.09
41122,United Nations Children's Fund,United Nations Children's Fund,10,Sweden,3,Core contributions to,2015,62282751.83,62282751.83
41122,United Nations Children's Fund,United Nations Children's Fund,8,Norway,4,Core contributions to,2015,55801495.48,55801495.48
41122,United Nations Children's Fund,United Nations Children's Fund,7,Netherlands,5,Core contributions to,2015,37714919.58,37714919.58
41122,United Nations Children's Fund,United Nations Children's Fund,11,Switzerland,6,Core contributions to,2015,22861893.38,22861893.38
41122,United Nations Children's Fund,United Nations Children's Fund,18,Finland,7,Core contributions to,2015,22185246.81,22185246.81
41122,United Nations Children's Fund,United Nations Children's Fund,2,Belgium,8,Core contributions to,2015,19134775.37,19134775.37
41122,United Nations Children's Fund,United Nations Children's Fund,701,Japan,9,Core contributions to,2015,18231210.00,18231210.00
41122,United Nations Children's Fund,United Nations Children's Fund,801,Australia,10,Core contributions to,2015,15891501.99,15891501.99
41122,United Nations Children's Fund,United Nations Children's Fund,302,United States,1,Core contributions to,2015,132000000.00,132000000.00
41122,United Nations Children's Fund,United Nations Children's Fund,0,Other,11,Core contributions to,2015,77109404.53,77109404.53
41122,United Nations Children's Fund,United Nations Children's Fund,12,United Kingdom,2,Core contributions to,2015,73338426.28,73338426.28
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,4,France,9,Core contributions to,2015,6655574.04,6655574.04
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,0,Other,11,Core contributions to,2015,17160319.84,17160319.84
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,3,Denmark,6,Core contributions to,2015,13382103.67,13382103.67
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,7,Netherlands,5,Core contributions to,2015,16638935.11,16638935.11
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,8,Norway,4,Core contributions to,2015,18600498.49,18600498.49
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,11,Switzerland,3,Core contributions to,2015,23797152.66,23797152.66
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,12,United Kingdom,2,Core contributions to,2015,52007383.44,52007383.44
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,10,Sweden,1,Core contributions to,2015,76518809.39,76518809.39
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,18,Finland,10,Core contributions to,2015,4991680.53,4991680.53
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,2,Belgium,8,Core contributions to,2015,6932889.63,6932889.63
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,5,Germany,7,Core contributions to,2015,8874098.72,8874098.72
41140,World Food Programme,World Food Programme,10,Sweden,1,Core contributions to,2015,68214442.48,68214442.48
41140,World Food Programme,World Food Programme,3,Denmark,5,Core contributions to,2015,31224908.56,31224908.56
41140,World Food Programme,World Food Programme,0,Other,11,Core contributions to,2015,34528120.18,34528120.18
41140,World Food Programme,World Food Programme,8,Norway,10,Core contributions to,2015,17980481.88,17980481.88
41140,World Food Programme,World Food Programme,4,France,9,Core contributions to,2015,18968386.02,18968386.02
41140,World Food Programme,World Food Programme,301,Canada,8,Core contributions to,2015,19557224.44,19557224.44
41140,World Food Programme,World Food Programme,21,Ireland,7,Core contributions to,2015,22185246.81,22185246.81
41140,World Food Programme,World Food Programme,5,Germany,6,Core contributions to,2015,25521907.93,25521907.93
41140,World Food Programme,World Food Programme,801,Australia,4,Core contributions to,2015,36291231.50,36291231.50
41140,World Food Programme,World Food Programme,7,Netherlands,3,Core contributions to,2015,39933444.26,39933444.26
41140,World Food Programme,World Food Programme,12,United Kingdom,2,Core contributions to,2015,61115355.23,61115355.23
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,10,Sweden,2,Core contributions to,2015,6833307.63,6833307.63
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,82,Estonia,10,Core contributions to,2015,83194.68,83194.68
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,613,Kazakhstan,6,Core contributions to,2015,1715230.25,1715230.25
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,8,Norway,3,Core contributions to,2015,3720099.70,3720099.70
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,0,Other,11,Core contributions to,2015,21219.03,21219.03
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,10,Sweden,7,Core contributions to,2015,20167748.21,23549405.05
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,801,Australia,5,Core contributions to,2015,25278525.81,25278525.81
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,4,France,6,Core contributions to,2015,4037714.92,24962839.71
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,8,Norway,4,Core contributions to,2015,27094726.14,29838410.40
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,701,Japan,2,Core contributions to,2015,6696381.00,44458861.28
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,12,United Kingdom,3,Core contributions to,2015,22154316.27,40234840.52
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,0,Other,11,Core contributions to,2015,18152254.57,115172652.81
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,6,Italy,10,Core contributions to,2015,15587084.90,15587084.90
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,0,Other,11,Core contributions to,2015,4604660.89,38229612.96
41144,International Labour Organisation - Regular Budget Supplementary Account,International Labour Organisation,6,Italy,3,Core contributions to,2015,10704381.59,19919706.30
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,301,Canada,8,Core contributions to,2015,7541245.48,7541245.48
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,701,Japan,3,Core contributions to,2015,13511587.28,13511587.28
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,5,Germany,2,Core contributions to,2015,16995343.13,16995343.13
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,302,United States,1,Core contributions to,2015,57156945.00,57156945.00
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,7,Netherlands,10,Core contributions to,2015,6697726.01,6697726.01
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,6,Italy,6,Core contributions to,2015,10964187.02,10964187.02
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,0,Other,11,Core contributions to,2015,45330037.75,45330037.75
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,50,Spain,9,Core contributions to,2015,7116213.85,7116213.85
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,12,United Kingdom,5,Core contributions to,2015,12630349.96,12630349.96
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,742,Korea,7,Core contributions to,2015,9141595.00,9141595.00
41301,Food and Agricultural Organisation,Food and Agriculture Organisation,4,France,4,Core contributions to,2015,13013865.78,13013865.78
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,5,Germany,4,Core contributions to,2015,17134916.47,17134916.47
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,0,Other,11,Core contributions to,2015,33624952.06,38229612.96
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,301,Canada,10,Core contributions to,2015,6832447.78,6832447.78
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,50,Spain,9,Core contributions to,2015,6885689.18,6885689.18
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,2,Belgium,8,Core contributions to,2015,7321395.45,7321395.45
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,742,Korea,7,Core contributions to,2015,8440164.00,8440164.00
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,12,United Kingdom,6,Core contributions to,2015,12327676.09,12327676.09
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,4,France,5,Core contributions to,2015,13349972.27,13349972.27
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,6,Italy,3,Core contributions to,2015,9215324.71,19919706.30
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,701,Japan,2,Core contributions to,2015,25682219.68,25682219.68
41302,International Labour Organisation - Assessed Contributions,International Labour Organisation,302,United States,1,Core contributions to,2015,58954684.00,58954684.00
41307,World Health Organisation - assessed contributions,World Health Organisation,10,Sweden,7,Core contributions to,2015,3381656.84,23549405.05
41307,World Health Organisation - assessed contributions,World Health Organisation,5,Germany,8,Core contributions to,2015,23437841.22,23437841.22
41307,World Health Organisation - assessed contributions,World Health Organisation,4,France,6,Core contributions to,2015,20925124.79,24962839.71
41307,World Health Organisation - assessed contributions,World Health Organisation,7,Netherlands,9,Core contributions to,2015,16491416.42,16491416.42
41307,World Health Organisation - assessed contributions,World Health Organisation,8,Norway,4,Core contributions to,2015,2743684.26,29838410.40
41307,World Health Organisation - assessed contributions,World Health Organisation,12,United Kingdom,3,Core contributions to,2015,18080524.25,40234840.52
41307,World Health Organisation - assessed contributions,World Health Organisation,0,Other,11,Core contributions to,2015,97020398.23,115172652.81
41307,World Health Organisation - assessed contributions,World Health Organisation,701,Japan,2,Core contributions to,2015,37762480.28,44458861.28
41307,World Health Organisation - assessed contributions,World Health Organisation,302,United States,1,Core contributions to,2015,99125809.00,99125809.00
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),UN Peacebuilding Fund,12,United Kingdom,1,Core contributions to,2015,21749427.04,21749427.04
41311,United Nations Peacebuilding Fund (Window One:  Flexible Contributions Only),UN Peacebuilding Fund,22,Luxembourg,8,Core contributions to,2015,296173.04,296173.04
