id,parent,channel,year,value
adaptation-fund,Adaptation Fund,Multilateral Institutions,2014,6040386.27
adaptation-fund,Adaptation Fund,Non-governmental organisations (NGOs) and civil society,2014,1606276.42
adaptation-fund,Adaptation Fund,Other,2014,0.00
adaptation-fund,Adaptation Fund,Public-private partnerships,2014,0.00
adaptation-fund,Adaptation Fund,Public sector,2014,5443114.26
adaptation-fund,Adaptation Fund,To be defined,2014,0.00
afdb,African Development Bank and Fund,Multilateral Institutions,2014,0.00
afdb,African Development Bank and Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
afdb,African Development Bank and Fund,Other,2014,109487.00
afdb,African Development Bank and Fund,Public-private partnerships,2014,0.00
afdb,African Development Bank and Fund,Public sector,2014,136037437.98
afdb,African Development Bank and Fund,To be defined,2014,0.00
afdf,African Development Bank and Fund,Multilateral Institutions,2014,0.00
afdf,African Development Bank and Fund,Non-governmental organisations (NGOs) and civil society,2014,0.00
afdf,African Development Bank and Fund,Other,2014,0.00
afdf,African Development Bank and Fund,Public-private partnerships,2014,0.00
afdf,African Development Bank and Fund,Public sector,2014,1991291433.30
afdf,African Development Bank and Fund,To be defined,2014,0.00
arab-fund-afesd,Arab Fund,Multilateral Institutions,2014,0.00
arab-fund-afesd,Arab Fund,Non-governmental organisations (NGOs) and civil society,2014,4804029.19
arab-fund-afesd,Arab Fund,Other,2014,198247944.58
arab-fund-afesd,Arab Fund,Public-private partnerships,2014,52135.54
arab-fund-afesd,Arab Fund,Public sector,2014,169969141.65
arab-fund-afesd,Arab Fund,To be defined,2014,503.48
asdb,Asian Development Bank,Multilateral Institutions,2014,0.00
asdb,Asian Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
asdb,Asian Development Bank,Other,2014,0.00
asdb,Asian Development Bank,Public-private partnerships,2014,0.00
asdb,Asian Development Bank,Public sector,2014,0.00
asdb,Asian Development Bank,To be defined,2014,0.00
asdb-special-funds,Asian Development Bank,Multilateral Institutions,2014,0.00
asdb-special-funds,Asian Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
asdb-special-funds,Asian Development Bank,Other,2014,5766163.37
asdb-special-funds,Asian Development Bank,Public-private partnerships,2014,0.00
asdb-special-funds,Asian Development Bank,Public sector,2014,2765446576.10
asdb-special-funds,Asian Development Bank,To be defined,2014,0.00
badea,Arab Bank for Economic Development in Africa,Multilateral Institutions,2014,1928096.14
badea,Arab Bank for Economic Development in Africa,Non-governmental organisations (NGOs) and civil society,2014,0.00
badea,Arab Bank for Economic Development in Africa,Other,2014,0.00
badea,Arab Bank for Economic Development in Africa,Public-private partnerships,2014,0.00
badea,Arab Bank for Economic Development in Africa,Public sector,2014,122871568.37
badea,Arab Bank for Economic Development in Africa,To be defined,2014,0.00
cardb,Caribbean Development Bank,Multilateral Institutions,2014,0.00
cardb,Caribbean Development Bank,Non-governmental organisations (NGOs) and civil society,2014,0.00
cardb,Caribbean Development Bank,Other,2014,0.00
cardb,Caribbean Development Bank,Public-private partnerships,2014,0.00
cardb,Caribbean Development Bank,Public sector,2014,0.00
cardb,Caribbean Development Bank,To be defined,2014,0.00
ceb,Council of Europe Development Bank,Multilateral Institutions,2014,0.00
ceb,Council of Europe Development Bank,Non-governmental organisations (NGOs) and civil society,2014,105142.58
ceb,Council of Europe Development Bank,Other,2014,28388.49
ceb,Council of Europe Development Bank,Public-private partnerships,2014,0.00
ceb,Council of Europe Development Bank,Public sector,2014,76321406.67
ceb,Council of Europe Development Bank,To be defined,2014,0.00
cif,Climate Investment Funds,Multilateral Institutions,2014,346918915.59
cif,Climate Investment Funds,Non-governmental organisations (NGOs) and civil society,2014,0.00
cif,Climate Investment Funds,Other,2014,0.00
cif,Climate Investment Funds,Public-private partnerships,2014,0.00
cif,Climate Investment Funds,Public sector,2014,0.00
cif,Climate Investment Funds,To be defined,2014,0.00
ebrd,European Bank for Reconstruction and Development,Multilateral Institutions,2014,0.00
ebrd,European Bank for Reconstruction and Development,Non-governmental organisations (NGOs) and civil society,2014,0.00
ebrd,European Bank for Reconstruction and Development,Other,2014,0.00
ebrd,European Bank for Reconstruction and Development,Public-private partnerships,2014,0.00
ebrd,European Bank for Reconstruction and Development,Public sector,2014,0.00
ebrd,European Bank for Reconstruction and Development,To be defined,2014,0.00
EU,EU Institutions,Multilateral Institutions,2014,7886039628.53
EU,EU Institutions,Non-governmental organisations (NGOs) and civil society,2014,2076739328.62
