parent,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
Adaptation Fund,2014,environment,1,8678284.90,41050,Flood prevention/control,2,901589.46
Adaptation Fund,2014,environment,1,8678284.90,41010,Environmental policy and admin. mgmt,1,7776695.44
Adaptation Fund,2014,other,2,3146352.74,43040,Rural development,1,3146352.74
Adaptation Fund,2014,water-and-sanitation,3,1265139.31,14015,Water resources protection,1,1265139.31
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,31110,Agricultural policy & administrative management,1,61761397.96
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,0,Other,6,38488679.17
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,31182,Agricultural research,4,15351227.45
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,31191,Agricultural services,3,19285034.63
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,31140,Agricultural water resources,2,25044755.70
African Development Bank and Fund,2014,agriculture-and-food-security,5,170643448.83,31163,Livestock,5,10712353.91
African Development Bank and Fund,2014,general-budget-support,3,213797807.06,51010,General budget support-related aid,1,213797807.06
African Development Bank and Fund,2014,infrastructure,1,841401843.50,21020,Road transport,1,612663036.51
African Development Bank and Fund,2014,infrastructure,1,841401843.50,23630,Electric power transmission and distribution,2,156114221.99
African Development Bank and Fund,2014,infrastructure,1,841401843.50,23260,Geothermal energy,3,29727049.79
African Development Bank and Fund,2014,infrastructure,1,841401843.50,21050,Air transport,4,29227481.14
African Development Bank and Fund,2014,infrastructure,1,841401843.50,23110,Energy policy and administrative management,5,8766846.25
African Development Bank and Fund,2014,infrastructure,1,841401843.50,0,Other,6,4903207.82
African Development Bank and Fund,2014,other,4,195308286.09,43040,Rural development,2,42794824.59
African Development Bank and Fund,2014,other,4,195308286.09,43010,Multisector aid,1,152513461.51
African Development Bank and Fund,2014,water-and-sanitation,2,266512458.99,14040,River basins development,3,2430677.31
African Development Bank and Fund,2014,water-and-sanitation,2,266512458.99,14022,Sanitation - large systems,2,16758891.19
African Development Bank and Fund,2014,water-and-sanitation,2,266512458.99,14010,Water resources policy/administrative management,1,247322890.48
Arab Bank for Economic Development in Africa,2014,agriculture-and-food-security,4,9563980.39,31110,Agricultural policy & administrative management,1,4434596.61
Arab Bank for Economic Development in Africa,2014,agriculture-and-food-security,4,9563980.39,0,Other,6,316311.33
