"series","country-year"
"id","population-65-"
"type","embedded"
"parent","population-by-age"
"name","Population: 65+ years"
"columns","id, year, value"
"description","Population ages 65 and above (% of total)"
"default-scale","lin"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source",
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
