"id-to","entity-to-name","year","destination-institution-type","creditor-type","creditor-institution","financing-type","value"
"AF","Afghanistan",2000,"png","private","private","bonds",
"AF","Afghanistan",2000,"png","private","private","commercial-banking",
"AF","Afghanistan",2000,"ppg","private","private","bonds",
"AF","Afghanistan",2000,"ppg","private","private","commercial-banking",
"AF","Afghanistan",2000,"ppg","private","private","other-private",
"AF","Afghanistan",2001,"png","private","private","bonds",
"AF","Afghanistan",2001,"png","private","private","commercial-banking",
"AF","Afghanistan",2001,"ppg","private","private","bonds",
"AF","Afghanistan",2001,"ppg","private","private","commercial-banking",
"AF","Afghanistan",2001,"ppg","private","private","other-private",
"AF","Afghanistan",2002,"png","private","private","bonds",0
"AF","Afghanistan",2002,"png","private","private","commercial-banking",0
"AF","Afghanistan",2002,"ppg","private","private","bonds",0
"AF","Afghanistan",2002,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2002,"ppg","private","private","other-private",0
"AF","Afghanistan",2003,"png","private","private","bonds",0
"AF","Afghanistan",2003,"png","private","private","commercial-banking",0
"AF","Afghanistan",2003,"ppg","private","private","bonds",0
"AF","Afghanistan",2003,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2003,"ppg","private","private","other-private",0
"AF","Afghanistan",2004,"png","private","private","bonds",0
"AF","Afghanistan",2004,"png","private","private","commercial-banking",0
"AF","Afghanistan",2004,"ppg","private","private","bonds",0
"AF","Afghanistan",2004,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2004,"ppg","private","private","other-private",0
"AF","Afghanistan",2005,"png","private","private","bonds",0
"AF","Afghanistan",2005,"png","private","private","commercial-banking",0
"AF","Afghanistan",2005,"ppg","private","private","bonds",0
"AF","Afghanistan",2005,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2005,"ppg","private","private","other-private",0
"AF","Afghanistan",2006,"png","private","private","bonds",0
"AF","Afghanistan",2006,"png","private","private","commercial-banking",0
"AF","Afghanistan",2006,"ppg","private","private","bonds",0
"AF","Afghanistan",2006,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2006,"ppg","private","private","other-private",0
"AF","Afghanistan",2007,"png","private","private","bonds",0
"AF","Afghanistan",2007,"png","private","private","commercial-banking",0
"AF","Afghanistan",2007,"ppg","private","private","bonds",0
"AF","Afghanistan",2007,"ppg","private","private","commercial-banking",0
"AF","Afghanistan",2007,"ppg","private","private","other-private",0
"AF","Afghanistan",2008,"png","private","private","bonds",0
