ISO,FIPS,DHSCC,SVYTYPE,SVYYEAR,CNTRYNAMEE,CNTRYNAMEF,CNTRYNAMES,DHSREGEN,DHSREGFR,DHSREGSP,SVYID,REG_ID,Svy_Map,MULTLEVEL,LEVELRNK,REGVAR,REGCODE,REGNAME,OTHREGVAR,OTHREGCO,OTHREGNA,LEVELCO,LEVELNA,REPALLIND,REGNOTES,SVYNOTES,uniqueid,p20,poor.pop,pop.2001
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Centrale,Centrale,Central,328.00000000000,TGDHS2013446005,yes,no,1.00000000000,hv024,4.00000000000,Centrale,NULL,9999.00000000000,NULL,Admin1,Region,yes,,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,1,0.828111099743508,0,0
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Greater LomÃƒÂ© area,Grande AgglomÃƒÂ©ration de LomÃƒÂ©,Gran AglomeraciÃƒÂ³n de LomÃƒÂ©,328.00000000000,TGDHS2013446003,yes,no,1.00000000000,hv024,1.00000000000,Grande AgglomÃƒÂ©ration de LomÃƒÂ©,NULL,9999.00000000000,NULL,NULL,NULL,yes,Consists of the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,2,0.140333245812257,0,0
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Kara,Kara,Kara,328.00000000000,TGDHS2013446006,yes,no,1.00000000000,hv024,5.00000000000,Kara,NULL,9999.00000000000,NULL,Admin1,Region,yes,,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,3,0.798832424391019,0,0
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Maritime (excluding Greater LomÃƒÂ© area),Maritime (Sans AgglomÃƒÂ©ration de LomÃƒÂ©),MarÃƒÂ­tima (Sin AglomeraciÃƒÂ³n de LomÃƒÂ©),328.00000000000,TGDHS2013446002,yes,no,1.00000000000,hv024,2.00000000000,Maritime (Sans AgglomÃƒÂ©ration de LomÃƒÂ©),NULL,9999.00000000000,NULL,NULL,NULL,yes,Excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,4,0.870360531246253,0,0
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Plateaux,Plateaux,Altiplano,328.00000000000,TGDHS2013446004,yes,no,1.00000000000,hv024,3.00000000000,Plateaux,NULL,9999.00000000000,NULL,Admin1,Region,yes,,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,5,0.844685172584782,0,0
TG,TO,TG,DHS,2013.00000000000,Togo,Togo,Togo,Savanes,Savanes,Savanes,328.00000000000,TGDHS2013446007,yes,no,1.00000000000,hv024,6.00000000000,Savanes,NULL,9999.00000000000,NULL,Admin1,Region,yes,,6 regions as 4 of the 5 admin1 areas plus the greater capital area as its own region. The Maritime region excludes the commune of LomÃƒÂ© and the urban areas of Golfe prefecture,6,0.910451350664048,0,0
CF,CT,CF,DHS,1994.00000000000,CAR,,,Region 1,,,66.00000000000,CFDHS1994393001,yes,no,1.00000000000,hv024,1.00000000000,rs i,NULL,9999.00000000000,NULL,Groups of Admin1 and the Capital City,Groups of Prefectures plus the Capital as its own Region,yes,,6 regions as 5 groups of admin1 areas plus the Capital as its own region,7,0.926800472255018,0,0
CF,CT,CF,DHS,1994.00000000000,CAR,,,Region 2,,,66.00000000000,CFDHS1994393002,yes,no,1.00000000000,hv024,2.00000000000,rs ii,NULL,9999.00000000000,NULL,Groups of Admin1 and the Capital City,Groups of Prefectures plus the Capital as its own Region,yes,,6 regions as 5 groups of admin1 areas plus the Capital as its own region,8,0.906354515050167,0,0
CF,CT,CF,DHS,1994.00000000000,CAR,,,Region 3,,,66.00000000000,CFDHS1994393003,yes,no,1.00000000000,hv024,3.00000000000,rs iii,NULL,9999.00000000000,NULL,Groups of Admin1 and the Capital City,Groups of Prefectures plus the Capital as its own Region,yes,,6 regions as 5 groups of admin1 areas plus the Capital as its own region,9,0.981684981684982,0,0
CF,CT,CF,DHS,1994.00000000000,CAR,,,Region 4,,,66.00000000000,CFDHS1994393004,yes,no,1.00000000000,hv024,4.00000000000,rs iv,NULL,9999.00000000000,NULL,Groups of Admin1 and the Capital City,Groups of Prefectures plus the Capital as its own Region,yes,,6 regions as 5 groups of admin1 areas plus the Capital as its own region,10,0.941317365269461,0,0
