"id","entity-name","year","out-oof-gross","capital-repayment","interest-repayment"
"afdb","AfDB",2000,766930000,1227550000,886110000
"afdb","AfDB",2001,969130000,1088490000,576290000
"afdb","AfDB",2002,1032810000,2210050000,1031880000
"afdb","AfDB",2003,1289640000,2107270000,749860000
"afdb","AfDB",2004,1191190000,2090080000,586180000
"afdb","AfDB",2005,1008960000,1404070000,509430000
"afdb","AfDB",2006,955580000,1442470000,517540000
"afdb","AfDB",2007,1495250000,1378380000,613440000
"afdb","AfDB",2008,1139660000,727870000,778060000
"afdb","AfDB",2009,3803070000,1207380000,709650000
"afdb","AfDB",2010,2120970000,924870000,530820000
"afdb","AfDB",2011,2977940000,977170000,532710000
"afdb","AfDB",2012,3510110000,849650000,590330000
"afdb","AfDB",2013,2302030000,1238310000,564550000
"arab-fund-afesd","Arab Fund",2000,0,0,0
"arab-fund-afesd","Arab Fund",2001,0,0,0
"arab-fund-afesd","Arab Fund",2002,0,0,0
"arab-fund-afesd","Arab Fund",2003,0,0,0
"arab-fund-afesd","Arab Fund",2004,0,0,0
"arab-fund-afesd","Arab Fund",2005,0,0,0
"arab-fund-afesd","Arab Fund",2006,0,0,0
"arab-fund-afesd","Arab Fund",2007,0,0,0
"arab-fund-afesd","Arab Fund",2008,0,0,0
"arab-fund-afesd","Arab Fund",2009,0,0,0
"arab-fund-afesd","Arab Fund",2010,0,0,0
"arab-fund-afesd","Arab Fund",2011,0,0,0
"arab-fund-afesd","Arab Fund",2012,0,0,0
"arab-fund-afesd","Arab Fund",2013,0,0,0
"asdb","AsDB",2000,4372280000,2721300000,2245270000
"asdb","AsDB",2001,4497470000,1838520000,2400440000
"asdb","AsDB",2002,4661280000,5042610000,2345620000
"asdb","AsDB",2003,3576380000,6778590000,1630550000
"asdb","AsDB",2004,3052380000,4775450000,1125820000
"asdb","AsDB",2005,4148170000,2104820000,1091930000
"asdb","AsDB",2006,5119390000,2010090000,1298680000
"asdb","AsDB",2007,5597310000,1535300000,1425440000
"asdb","AsDB",2008,6582520000,1930920000,1363570000
"asdb","AsDB",2009,8282310000,1953090000,1106340000
"asdb","AsDB",2010,5474940000,2119810000,687530000
"asdb","AsDB",2011,5491840000,2411950000,597450000
"asdb","AsDB",2012,6899660000,2917610000,677190000
"asdb","AsDB",2013,6157160000,4577300000,610660000
"AU","Australia",2000,1576950000,226610000,108150000
"AU","Australia",2001,168360000,246300000,98600000
"AU","Australia",2002,142970000,236600000,37930000
"AU","Australia",2003,248090000,265920000,11430000
"AU","Australia",2004,179100000,326190000,84010000
"AU","Australia",2005,179090000,335740000,59610000
"AU","Australia",2006,316090000,0,0
"AU","Australia",2007,387630000,420080000,0
"AU","Australia",2008,200920000,351020000,0
"AU","Australia",2009,540650000,4280000,0
"AU","Australia",2010,318970000,8820000,0
"AU","Australia",2011,260910000,0,0
"AU","Australia",2012,326860000,0,0
"AU","Australia",2013,492930000,0,0
"AT","Austria",2000,270870000,147080000,132300000
"AT","Austria",2001,188140000,4.17e+08,138210000
"AT","Austria",2002,251160000,309940000,214560000
"AT","Austria",2003,216560000,157350000,129920000
"AT","Austria",2004,164270000,437860000,125450000
"AT","Austria",2005,659210000,296310000,79300000
"AT","Austria",2006,169470000,678370000,122100000
"AT","Austria",2007,101590000,740140000,252990000
"AT","Austria",2008,269460000,171780000,82520000
"AT","Austria",2009,183810000,226400000,79580000
"AT","Austria",2010,154200000,309740000,69210000
"AT","Austria",2011,227120000,198670000,48210000
"AT","Austria",2012,147710000,99230000,840000
"AT","Austria",2013,617750000,186820000,86290000
"badea","BADEA",2000,0,0,0
"badea","BADEA",2001,0,0,0
"badea","BADEA",2002,0,0,0
"badea","BADEA",2003,0,0,0
"badea","BADEA",2004,0,0,0
"badea","BADEA",2005,0,0,0
"badea","BADEA",2006,0,0,0
"badea","BADEA",2007,0,0,0
"badea","BADEA",2008,0,0,0
"badea","BADEA",2009,0,0,0
"badea","BADEA",2010,0,0,0
"badea","BADEA",2011,0,0,0
"badea","BADEA",2012,0,0,0
"badea","BADEA",2013,0,0,0
"BE","Belgium",2000,92130000,107650000,0
"BE","Belgium",2001,71700000,59170000,0
"BE","Belgium",2002,229050000,52580000,0
"BE","Belgium",2003,1367570000,62150000,0
"BE","Belgium",2004,29210000,142210000,0
"BE","Belgium",2005,548810000,83910000,0
"BE","Belgium",2006,33950000,533120000,0
"BE","Belgium",2007,31850000,198100000,0
"BE","Belgium",2008,49930000,181780000,0
"BE","Belgium",2009,126160000,37870000,0
"BE","Belgium",2010,19360000,34610000,0
"BE","Belgium",2011,9990000,24030000,0
"BE","Belgium",2012,146760000,91810000,0
