"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca-2010/countryinfo/en/"
"AO","Angola","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"BJ","Benin","red","1992","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"BW","Botswana","orange","2015","Statistics Botswana press release","http://www.cso.gov.bw/images/agri_census.pdf"
"BF","Burkina Faso","orange","2010 (planned for 2016)","FAO Country information","http://www.fao.org/economic/ess/ess-wca/en/"
"BI","Burundi","grey","No information",,
"CM","Cameroon","green","2013","Statistics Cameroon","http://www.statistics-cameroon.org/news.php?id=125"
"CV","Cape Verde","green","2014","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"CF","CAR","grey","No information",,
"TD","Chad","orange","2011 (planned for 2014-15)","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"KM","Comoros","red","2004","World Programme for the Census of Agriculture","http://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/Country_info_2000/Keydata/Comoros_Keydata.pdf"
"CG","Congo","green","2014-2015","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-capacity/countrystathome/congo-launch/en/ and http://www.fao.org/economic/ess/ess-wca/en/"
"CI","Côte d'Ivoire","green","2014","Government press release and World Bank metadata","http://www.agriculture.gouv.ci/index.php?option=com_content&view=article&id=455:lancement-du-recensement-des-exploitants-et-exploitations-agricoles&catid=65:dernieres-actualites&Itemid=90 and http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#"
"DJ","Djibouti","red","1995","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"CD","DRC","red","1990","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"EG","Egypt","orange","2010","World Bank metadata and World Programme for the Census of Agriculture","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/en/"
"GQ","Equatorial Guinea","grey","No information",,
"ER","Eritrea","red","No recent census",,
"ET","Ethiopia","red","2002","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GA","Gabon","red","1982","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GM","Gambia","green","2012","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"GH","Ghana","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GN","Guinea","red","2001","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GW","Guinea-Bissau","red","1988","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"KE","Kenya","red","1979","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"LS","Lesotho","orange","2010","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"LR","Liberia","red","No recent census",,
"LY","Libya","green","2013-2014","World Bank metadata","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#"
"MG","Madagascar","red","2004","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MW","Malawi","red","2007","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"ML","Mali","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MR","Mauritania","red","1985","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MU","Mauritius","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"MA","Morocco","orange","2015",,
"MZ","Mozambique","orange","2010","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NA","Namibia","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NE","Niger","red","2008","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"NG","Nigeria","green","2013","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"RW","Rwanda","green","2013","World Programme for the Census of Agriculture and government press release","http://www.fao.org/economic/ess/ess-wca/en/ and http://www.statistics.gov.rw/about-us/news/rwanda-national-agriculture-survey-started-november-2012"
"ST","Sao Tome & Principe","green","2012","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SN","Senegal","green","2013","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SC","Seychelles","orange","2011","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SL","Sierra Leone","red","1985","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SO","Somalia","red","No recent census",,
"ZA","South Africa","green","2013",,
"SS","South Sudan","red","No recent census",,
"SD","Sudan","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"SZ","Swaziland","red","2003","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TZ","Tanzania","red","2008","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TG","Togo","green","2012","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"TN","Tunisia","green","2014-2015","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"UG","Uganda","orange","2008-2009","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"EH","Western Sahara","red","No recent census",,
"ZM","Zambia","red","2000","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"ZW","Zimbabwe","red","No recent census",,
