"id","entity-name","year","budget-type","l1","l2","l3","l4","value","value-ncu"
"d314","Abim",2015,"budget","revenue","donor-funding","sight-savers",,11825.63528,4e+07
"d314","Abim",2015,"budget","revenue","donor-funding","monitoring-educ-enrolment",,0,0
"d314","Abim",2015,"budget","revenue","donor-funding","moh",,72432.0161,2.45e+08
"d314","Abim",2015,"budget","revenue","donor-funding","unicef",,383366.9922,1296732000
"d314","Abim",2015,"budget","revenue","donor-funding","led",,37091.99198,125463000
"d314","Abim",2015,"budget","revenue","donor-funding","youth-livelihood-fund",,0,0
"d314","Abim",2015,"budget","revenue","donor-funding","unspent-balances---donor",,0,0
"d314","Abim",2015,"budget","revenue","donor-funding","global-fund",,14782.0441,5e+07
"d314","Abim",2015,"budget","revenue","donor-funding","unfpapopsec",,0,0
"d314","Abim",2015,"budget","expenditure","administration","recurrent-expenditure","non-wage",116834.0245,395189000
"d314","Abim",2015,"budget","expenditure","administration","development-expenditure","domestic-development",746624.4917,2525444000
"d314","Abim",2015,"budget","expenditure","administration","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","expenditure","finance","recurrent-expenditure","wage",45066.60914,152437000
"d314","Abim",2015,"budget","expenditure","finance","recurrent-expenditure","non-wage",42152.7726,142581000
"d314","Abim",2015,"budget","expenditure","finance","development-expenditure","domestic-development",0,0
"d314","Abim",2015,"budget","expenditure","finance","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","expenditure","statutory-bodies","recurrent-expenditure","wage",53307.30308,180311000
"d314","Abim",2015,"budget","expenditure","statutory-bodies","recurrent-expenditure","non-wage",52425.99761,177330000
"d314","Abim",2015,"budget","expenditure","statutory-bodies","development-expenditure","domestic-development",0,0
"d314","Abim",2015,"budget","expenditure","statutory-bodies","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","expenditure","production-and-marketing","recurrent-expenditure","wage",50880.38708,172102000
"d314","Abim",2015,"budget","expenditure","production-and-marketing","recurrent-expenditure","non-wage",7512.530453,25411000
"d314","Abim",2015,"budget","expenditure","production-and-marketing","development-expenditure","domestic-development",73547.76479,248774000
"d314","Abim",2015,"budget","expenditure","production-and-marketing","development-expenditure","donor-development",37091.99198,125463000
"d314","Abim",2015,"budget","expenditure","health","recurrent-expenditure","wage",573009.0881,1938193000
"d314","Abim",2015,"budget","expenditure","health","recurrent-expenditure","non-wage",102730.4763,347484000
"d314","Abim",2015,"budget","expenditure","health","development-expenditure","domestic-development",109412.2558,370085000
"d314","Abim",2015,"budget","expenditure","health","development-expenditure","donor-development",520890.2613,1761902000
"d314","Abim",2015,"budget","expenditure","education","recurrent-expenditure","wage",1279602.326,4328232000
"d314","Abim",2015,"budget","expenditure","education","recurrent-expenditure","non-wage",256425.006,867353000
"d314","Abim",2015,"budget","expenditure","education","development-expenditure","domestic-development",113872.8855,385173000
"d314","Abim",2015,"budget","expenditure","education","development-expenditure","donor-development",76613.85638,259145000
"d314","Abim",2015,"budget","expenditure","roads-and-engineering","recurrent-expenditure","wage",17093.36452,57818000
"d314","Abim",2015,"budget","expenditure","roads-and-engineering","recurrent-expenditure","non-wage",144609.4854,489139000
"d314","Abim",2015,"budget","expenditure","roads-and-engineering","development-expenditure","domestic-development",87611.10591,296343000
"d314","Abim",2015,"budget","expenditure","roads-and-engineering","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","expenditure","water","recurrent-expenditure","wage",6790.87106,22970000
"d314","Abim",2015,"budget","expenditure","water","recurrent-expenditure","non-wage",6504.099405,2.2e+07
"d314","Abim",2015,"budget","expenditure","water","development-expenditure","domestic-development",218717.194,739807000
"d314","Abim",2015,"budget","expenditure","water","development-expenditure","donor-development",130052.424,439900000
"d314","Abim",2015,"budget","expenditure","natural-resources","recurrent-expenditure","wage",11848.10399,40076000
"d314","Abim",2015,"budget","expenditure","natural-resources","recurrent-expenditure","non-wage",15138.58701,51206000
"d314","Abim",2015,"budget","expenditure","natural-resources","development-expenditure","domestic-development",0,0
"d314","Abim",2015,"budget","expenditure","natural-resources","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","expenditure","community-based-services","recurrent-expenditure","wage",18074.59661,61137000
"d314","Abim",2015,"budget","expenditure","community-based-services","recurrent-expenditure","non-wage",8958.214367,30301000
"d314","Abim",2015,"budget","expenditure","community-based-services","development-expenditure","domestic-development",0,0
"d314","Abim",2015,"budget","expenditure","community-based-services","development-expenditure","donor-development",20926.93984,70785000
"d314","Abim",2015,"budget","expenditure","planning","recurrent-expenditure","wage",10962.65955,37081000
"d314","Abim",2015,"budget","expenditure","planning","recurrent-expenditure","non-wage",18493.51973,62554000
"d314","Abim",2015,"budget","expenditure","planning","development-expenditure","domestic-development",67725.7089,229081000
"d314","Abim",2015,"budget","expenditure","planning","development-expenditure","donor-development",104217.2542,352513000
"d314","Abim",2015,"budget","expenditure","internal-audit","recurrent-expenditure","wage",9523.775374,32214000
"d314","Abim",2015,"budget","expenditure","internal-audit","recurrent-expenditure","non-wage",6139.278556,20766000
"d314","Abim",2015,"budget","expenditure","internal-audit","development-expenditure","domestic-development",0,0
"d314","Abim",2015,"budget","expenditure","internal-audit","development-expenditure","donor-development",0,0
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","local-service-tax",,25736.13006,87052000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","registration-eg-births-deaths-marriages-etc-fees",,357.7254673,1210000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","public-health-licences",,73.91022051,250000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","property-related-dutiesfees",,4742.079748,16040000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","park-fees",,1478.20441,5e+06
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","other-licences",,23175.88002,78392000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","other-fees-and-charges",,14701.0385,49726000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","sale-of-produced-government-propertiesassets",,20286.87733,68620000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","marketgate-charges",,10743.29401,36339000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","land-fees",,170.2891481,576000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","local-government-hotel-tax",,946.0508225,3200000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","inspection-fees",,591.2817641,2e+06
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","agency-fees",,5646.445206,19099000
"d314","Abim",2015,"budget","expenditure","administration","recurrent-expenditure","wage",556995.1084,1884026000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","group-registration",,180.6365789,611000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","business-licences",,2422.481387,8194000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","application-fees",,29.5640882,1e+05
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","animal-crop-husbandry-related-levies",,44.34613231,150000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","miscellaneous",,5352.578169,18105000
"d314","Abim",2015,"budget","revenue","locally-raised-revenues","unspent-balances---locally-raised-revenues",,0,0
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","district-equalisation-grant",,7635.51706,25827000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","hard-to-reach-allowances",,404661.4137,1368760000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","district-unconditional-grant---non-wage",,70100.5921,237114000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","transfer-of-urban-unconditional-grant---wage",,37012.46459,125194000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","transfer-of-district-unconditional-grant---wage",,279900.6658,946759000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","urban-equalisation-grant",,6776.975939,22923000
"d314","Abim",2015,"budget","revenue","discretionary-government-transfers","urban-unconditional-grant---non-wage",,26132.58449,88393000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-transfers-for-non-wage-technical-institutes",,48045.19102,162512000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-transfer-for-rural-water",,218717.194,739807000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-phc---development",,109412.2558,370085000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-primary-salaries",,1040806.386,3520509000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-tertiary-salaries",,80495.32552,272274000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-sfg",,113872.8855,385173000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-secondary-salaries",,143915.6162,486792000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-secondary-education",,139136.5814,470627000
"d314","Abim",2015,"budget","revenue","conditional-government-transfers","conditional-grant-to-women-youth-and-disability-grant",,1706.14353,5771000
