"id","year","budget-type","l1","l2","l3","l4","l5","value"
"UG",2000,"actual","total-revenue-and-grants",,,,,2297407690
"UG",2001,"actual","total-revenue-and-grants",,,,,2549756601
"UG",2002,"actual","total-revenue-and-grants",,,,,2552996678
"UG",2003,"actual","total-revenue-and-grants",,,,,2465169806
"UG",2004,"actual","total-revenue-and-grants",,,,,3313556140
"UG",2005,"actual","total-revenue-and-grants",,,,,3414726630
"UG",2006,"actual","total-revenue-and-grants",,,,,3240821664
"UG",2007,"actual","total-revenue-and-grants",,,,,3590995112
"UG",2008,"actual","total-revenue-and-grants",,,,,3455735200
"UG",2009,"actual","total-revenue-and-grants",,,,,3062005765
"UG",2010,"actual","total-revenue-and-grants",,,,,3075908612
"UG",2011,"actual","total-revenue-and-grants",,,,,3224602176
"UG",2012,"actual","total-revenue-and-grants",,,,,3102306144
"UG",2013,"actual","total-revenue-and-grants",,,,,3025322025
"UG",2014,"budget","total-revenue-and-grants",,,,,3312508584
"UG",2014,"actual","total-revenue-and-grants",,,,,3035325531
"UG",2015,"proj","total-revenue-and-grants",,,,,3252049900
"UG",2016,"proj","total-revenue-and-grants",,,,,3217908750
"UG",2017,"proj","total-revenue-and-grants",,,,,3383649450
"UG",2018,"proj","total-revenue-and-grants",,,,,3626068450
"UG",2019,"proj","total-revenue-and-grants",,,,,3892155660
"UG",2000,"actual","total-revenue-and-grants","revenue",,,,1541298830
"UG",2001,"actual","total-revenue-and-grants","revenue",,,,1508494743
"UG",2002,"actual","total-revenue-and-grants","revenue",,,,1619921750
"UG",2003,"actual","total-revenue-and-grants","revenue",,,,1559819833
"UG",2004,"actual","total-revenue-and-grants","revenue",,,,1895081765
"UG",2005,"actual","total-revenue-and-grants","revenue",,,,2113878390
"UG",2006,"actual","total-revenue-and-grants","revenue",,,,2270575672
"UG",2007,"actual","total-revenue-and-grants","revenue",,,,2648606892
"UG",2008,"actual","total-revenue-and-grants","revenue",,,,2864622600
"UG",2009,"actual","total-revenue-and-grants","revenue",,,,2530360808
"UG",2010,"actual","total-revenue-and-grants","revenue",,,,2555278166
"UG",2011,"actual","total-revenue-and-grants","revenue",,,,2827109664
"UG",2012,"actual","total-revenue-and-grants","revenue",,,,2647141536
"UG",2013,"actual","total-revenue-and-grants","revenue",,,,2680618667
"UG",2014,"budget","total-revenue-and-grants","revenue",,,,3001105401
"UG",2014,"actual","total-revenue-and-grants","revenue",,,,2795784621
"UG",2015,"proj","total-revenue-and-grants","revenue",,,,2891368002
"UG",2016,"proj","total-revenue-and-grants","revenue",,,,2974537500
"UG",2017,"proj","total-revenue-and-grants","revenue",,,,3183136890
"UG",2018,"proj","total-revenue-and-grants","revenue",,,,3438916530
"UG",2019,"proj","total-revenue-and-grants","revenue",,,,3738228600
"UG",2000,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1349363504
"UG",2001,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1374999633
"UG",2002,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1503287384
"UG",2003,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1461649354
"UG",2004,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1758908225
"UG",2005,"actual","total-revenue-and-grants","revenue","tax-revenue",,,1983793566
"UG",2006,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2140542704
"UG",2007,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2499808752
"UG",2008,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2746400080
"UG",2009,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2395767148
"UG",2010,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2435593006
"UG",2011,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2215239168
"UG",2012,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2387617856
"UG",2013,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2570606957
"UG",2014,"budget","total-revenue-and-grants","revenue","tax-revenue",,,2939509167
"UG",2014,"actual","total-revenue-and-grants","revenue","tax-revenue",,,2679436179
"UG",2015,"proj","total-revenue-and-grants","revenue","tax-revenue",,,2770155233
"UG",2016,"proj","total-revenue-and-grants","revenue","tax-revenue",,,2839331250
"UG",2017,"proj","total-revenue-and-grants","revenue","tax-revenue",,,3032752470
"UG",2018,"proj","total-revenue-and-grants","revenue","tax-revenue",,,3275158600
"UG",2019,"proj","total-revenue-and-grants","revenue","tax-revenue",,,3562311960
"UG",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,152675827.5
"UG",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,188228105.1
"UG",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,151624675.8
"UG",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,146164935.4
"UG",2004,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,153195232.5
"UG",2005,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,175614512.4
"UG",2006,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,227057567.2
"UG",2007,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,258908763.6
"UG",2008,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,280096432
"UG",2009,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,242941556.3
"UG",2010,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,210645881.6
"UG",2011,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,203212464
"UG",2012,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,200831401.6
"UG",2013,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,219656714.3
"UG",2014,"budget","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,336041676.6
"UG",2014,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,255624371.1
"UG",2015,"proj","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,264007323.7
"UG",2016,"proj","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,275820750
"UG",2017,"proj","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,295756026
"UG",2018,"proj","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,325176461
"UG",2019,"proj","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,378220776
"UG",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,264638101
"UG",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,299029046.4
"UG",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,368046221.6
"UG",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,381774085
"UG",2004,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,495898641.5
"UG",2005,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,607062512
"UG",2006,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,653165600.8
"UG",2007,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,775734303.2
"UG",2008,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,783906248
"UG",2009,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,733535447
"UG",2010,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,813859088
"UG",2011,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,781586400
"UG",2012,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,842453792
"UG",2013,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,949767763
"UG",2014,"budget","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,978695718
"UG",2014,"actual","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,944475588
"UG",2015,"proj","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,981527788
"UG",2016,"proj","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,987005625
"UG",2017,"proj","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,1055197347
"UG",2018,"proj","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,1136947914
"UG",2019,"proj","total-revenue-and-grants","revenue","tax-revenue","income-taxes",,1255605018
"UG",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","excises",,476930204
"UG",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","excises",,433859107.5
"UG",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","excises",,467833401.4
"UG",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","excises",,424314625.9
"UG",2004,"actual","total-revenue-and-grants","revenue","tax-revenue","excises",,507246436.5
