"id","entity-name","year","dfis-in","fdi-in","fdi-in-profits-out","fdi-out","illicit-financing-out","long-debt-capital-payments-out","long-debt-disbursement-in","long-debt-net-official-in","long-debt-interest-payments-out","net-portfolio-equity-in","oda-capital-payments-out","oda-in","oda-interest-payments-out","oofs-capital-payments-out","oofs-in","oofs-interest-payments-out","pda-in","remittances-in","remittances-out","short-debt-interest-out","short-debt-net-flow-in","ssc-in","trade-mispricing-out","ssc-out"
"AF","Afghanistan",2000,,,,,,,0,0,,,0,234980000,0,0,0,0,,,,,,,,
"AF","Afghanistan",2001,,,,,,,0,0,,,0,733340000,0,0,0,0,,,,,,,,
"AF","Afghanistan",2002,,95186895.26,0,,,0,0,0,0,0,74570000,2050520000,9840000,0,0,0,,,,0,,,2878706304,
"AF","Afghanistan",2003,,117292001.7,0,,,0,0,0,0,0,34710000,2150430000,9260000,0,790000,20000,,,,0,,,1809761200,
"AF","Afghanistan",2004,,334923804.9,0,,,0,0,0,0,0,4360000,2803810000,4240000,60000,1770000,220000,,,,0,,,1195953287,
"AF","Afghanistan",2005,,453168969.6,0,,,0,0,0,0,0,4300000,3318840000,5800000,5e+05,65060000,2240000,,,,0,,,844447267.8,
"AF","Afghanistan",2006,,373423706.3,0,,,5480542.042,0,105395995.8,9047052.238,0,4620000,3374950000,6270000,650000,30220000,7e+06,,,,0,0,,249420817.7,
"AF","Afghanistan",2007,,271585152,0,,,1830814.104,0,0,4668719.897,0,4110000,5326700000,6910000,29820000,25430000,17360000,,,,0,0,,0,
"AF","Afghanistan",2008,,117245140.8,110630.7289,,0,1609841.302,0,10265.5452,7448745.643,-1195756.829,10460000,5059610000,13540000,25420000,48590000,8140000,,,234965169.3,0,0,,0,
"AF","Afghanistan",2009,,96809635.39,150789.4376,,0,4013732.19,0,6781307.41,8346262.09,0,4380000,6583240000,8910000,29790000,75470000,8950000,,,430629916.8,0,0,,0,
"AF","Afghanistan",2010,,230551217.9,410138.2119,,0,1054241.739,0,0,7653729.545,-408030.3723,191400000,6876430000,8770000,16820000,93640000,4310000,,,387832785.5,1346722.884,38197.16446,,0,
"AF","Afghanistan",2011,,83031499.98,82402.07525,,0,858073.4262,0,0,8842834.881,46754.55951,4930000,6836500000,10420000,19020000,121380000,10890000,,,238909365.9,772465.1726,-12940782.53,,0,
"AF","Afghanistan",2012,,93800000,1502254.92,,0,926000,0,0,8237100,2024107.755,14750000,6740680000,10790000,25310000,53960000,4630000,,,275349227.5,1093000,9e+06,,0,
"AF","Afghanistan",2013,,77296513.07,0,,,0,0,8887162.606,0,4482.87699,30530000,5400260000,10790000,28600000,89950000,15870000,,,,747419.018,-13386609.28,,,
"AL","Albania",2000,,270019318.8,187162.2764,187162.2764,,17226631.47,606405.7756,70830946.33,15748395.17,0,13770000,522560000,5460000,9690000,7270000,2750000,,,,3026147.44,15422618.25,,,
"AL","Albania",2001,,373429638,180901.2494,180901.2494,,22523851.85,721795.9849,63187481.55,18809008.89,0,18450000,456250000,9830000,10330000,4980000,1710000,,,,2198691.963,-11321079.48,,,
"AL","Albania",2002,,233313121.9,1036947.209,1036947.209,0,38680643.89,6111075.549,21626370.9,38358957.26,0,22310000,490410000,6780000,13550000,33030000,5950000,,,,1904037.09,921588.7283,,2534357.952,
"AL","Albania",2003,,251140777,1394313.494,1394313.494,0,39988677.76,5229440.569,4672925.829,22022585.51,0,25590000,499670000,7190000,15050000,41810000,1530000,,,5834244.486,3738559.567,170846778.7,,22504496.62,
"AL","Albania",2004,,402948155.6,241861.1885,16163374.73,0,49646492.83,37329006.6,0,24596887.49,0,29040000,393090000,9140000,20910000,120910000,9870000,,,5669631.125,1466055.186,-173579761.2,,15386858.34,
"AL","Albania",2005,,291719393,2362576.56,6891536.763,0,45454546.57,408858038.8,0,27230312.43,0,31430000,408890000,9640000,13600000,141570000,15020000,,,7186316.685,4727885.758,170784602.3,,101233304,
"AL","Albania",2006,,344419922.9,4862122.994,15889697.61,0,151807366.6,13527651.81,11196968.63,29919464.25,0,37680000,403460000,10040000,45620000,79170000,21580000,,,28168061.82,18310583.94,247214246.6,,113074485.7,
"AL","Albania",2007,,622915482.4,8097346.211,30689733.23,0,70702017.39,121134785.8,0,31690561.79,0,38830000,355480000,10430000,31760000,93950000,23420000,,,9402759.502,24278299.57,118155533.3,,207914657.2,
"AL","Albania",2008,,815435112.2,252078626.9,319983230.6,27798641.04,62724284.41,552945356.9,18483512.47,40838569.87,19521639.09,42520000,392140000,10670000,32100000,165250000,23710000,,,13301287.44,23110896.9,539007821.1,,227688515.4,
"AL","Albania",2009,,922584588,414859966,451172495.8,0,104698555.3,186478964.1,33783516.81,54022750.79,-3753580.41,46820000,398620000,11240000,48870000,150450000,25010000,,,9303005.943,10524566.13,-438002579.8,,0,
"AL","Albania",2010,,1042526257,377947770.6,384278732,0,126334804.2,630937420.9,39191754.64,47265489.06,6816487.063,54540000,398500000,11470000,60820000,140440000,20660000,,,23993389.59,7739816.176,-132683989.2,,193524546.3,
"AL","Albania",2011,,829442232.7,132228559.6,160414215.6,0,136119186.7,455038029.4,32565629.07,81191327.75,22224335.46,56470000,388050000,15660000,75680000,259900000,27840000,,,20075934.01,12728406.32,338978460,,251068174.4,
"AL","Albania",2012,,855440505,168877115.1,191644860.9,0,160680000,235256000,67862000,83610000,17982033.72,51980000,393600000,18540000,66750000,272190000,14290000,,,43505848.11,14970000,575233000,,62866317.32,
"AL","Albania",2013,,1185206275,167948458.2,206405371,,241788000,372297958.8,41599428.38,44091000,1629681.507,61130000,349530000,16870000,154510000,86280000,14310000,,,49078736.97,1907171.321,156805846.5,,,
"DZ","Algeria",2000,,685871901.4,0,33546751.33,,6549793095,1028087944,1343023314,3737229644,0,99530000,430840000,26460000,747950000,411350000,620010000,,3391825615,,25108089.86,64438480.29,,,
"DZ","Algeria",2001,,2794469799,0,23457504.41,,6992477943,1449638460,607875876.5,3308377254,0,111380000,452950000,34030000,960670000,868460000,590890000,,3033280191,,23358729.87,-58223246.01,,,
"DZ","Algeria",2002,,2735941493,0,253299372.1,,6702428901,2113107624,1128390182,2952423157,0,95980000,404200000,7800000,1202800000,858790000,708780000,,4353938032,,17388439.41,-230209299.8,,1238222873,
"DZ","Algeria",2003,,1469546208,0,64494190.94,,6293516801,2703085138,1017944632,2395485307,0,75150000,393220000,22120000,1135330000,784930000,458810000,,6002202477,,10026968.34,86055753.76,,1129466130,
