"series","country-year"
"id","gov-revenue-pc-gdp"
"type","simple"
"parent",
"name","Government revenue as a percent of GDP"
"columns","id, year, value, estimate"
"description","Government revenue (excluding grants) as a percent of GDP"
"default-scale","lin"
"themes","dpf"
"map-theme","dpf"
"theme-order","2"
"global-picture-color-ramp","darklightblue"
"uom","percent"
"uom_display","%"
"source","Development Initiatives, based on IMF World Economic Outlook"
"calculation","DI calculation of government revenue divided by GDP in NCU as corresponding to fiscal year"
"format",
"highorlow","highisbetter"
"range","0.1, 0.15, 0.2, 0.25, 0.3"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","Government revenue (excluding grants) as a percent of GDP"
"laymans-heading","Government revenue (excluding grants) as a percent of GDP"
