"row_id","id","sectoral","level","name","color_id"
7268,"account-payables","FALSE",3,"Account payables",
7269,"accounts-payable","FALSE",3,"Accounts Payable",
7270,"accumulation-of-arrears","FALSE",2,"Accumulation of arrears",
7271,"accumulation-of-external-arrears","FALSE",3,"Accumulation of External Arrears",
7272,"accumulation-of-new-arrears","FALSE",2,"Accumulation of New Arrears",
7273,"acquisition-of-capital-assets","FALSE",3,"Acquisition of Capital Assets",
7274,"acquisition-of-fixed-capital","FALSE",3,"Acquisition of Fixed Capital",
7275,"additional-expenditure","FALSE",4,"Additional Expenditure",
7276,"additional-finance","FALSE",3,"Additional Finance",
7277,"adefa-s-a-nd-others","FALSE",4,"Adefa S A Nd Others",
7278,"adjustment-aid","FALSE",4,"Adjustment Aid",
7279,"adjustment-for-heavily-indebted-poor-countriesmultilateral-debt-relief-initiative-debt-relief","FALSE",2,"Adjustment for Heavily Indebted Poor Countries/Multilateral Debt Relief Initiative Debt Relief","purple"
7280,"adjustment-for-net-withheld-adjara-transfers","FALSE",2,"Adjustment for Net Withheld Adjara Transfers","purple"
7281,"adjustment-on-other-receivables-and-payables","FALSE",2,"Adjustment on Other Receivables and Payables",
7282,"adjustments-and-fiscal-expenditure","FALSE",3,"Adjustments and Fiscal Expenditure",
7283,"administrative-fees","FALSE",4,"Administrative Fees",
7284,"administrative-fees-and-charges","FALSE",4,"Administrative Fees and Charges",
7285,"administrative-fees-including-license-revenues","FALSE",4,"Administrative Fees, Including License Revenues",
7286,"afghanistan-reconstruction-trust-fund","FALSE",4,"Afghanistan Reconstruction Trust Fund",
7287,"agaciro-development-fund","FALSE",2,"Agaciro Development Fund",
7288,"agricultural-expenditure","FALSE",3,"Agricultural Expenditure",
7289,"agricultural-swap","FALSE",4,"Agricultural Swap",
7290,"agriculture-and-rural-development","FALSE",3,"Agriculture and Rural Development",
7291,"airport-service-charges","FALSE",5,"Airport service charges",
7292,"all-other-tax-national","FALSE",5,"All Other Tax (National)",
7293,"amortization","FALSE",3,"Amortization",
7294,"amortization-due","FALSE",3,"Amortization Due",
7295,"amortization-of-activated-guarantees","FALSE",2,"Amortization of Activated Guarantees",
7296,"amortization-of-domestic-debt","FALSE",3,"Amortization of Domestic Debt",
7297,"amortization-of-parastatal-debt","FALSE",3,"Amortization Of Parastatal Debt",
7298,"amortizations","FALSE",3,"Amortizations",
7299,"amortization-to-india","FALSE",4,"Amortization to India",
7300,"annual-development-program-adp","FALSE",3,"Annual Development Program (ADP)",
7301,"arrears","FALSE",3,"Arrears",
7302,"arrears-clearance","FALSE",4,"Arrears clearance",
7303,"arrears-net","FALSE",3,"Arrears (net)",
