"row_id","id","sectoral","level","name","color_id"
12711,"account-payables","FALSE",3,"Account payables",
12712,"accounts-payable","FALSE",3,"Accounts Payable",
12713,"accumulation-of-arrears","FALSE",2,"Accumulation of arrears",
12714,"accumulation-of-external-arrears","FALSE",3,"Accumulation of External Arrears",
12715,"accumulation-of-new-arrears","FALSE",2,"Accumulation of New Arrears",
12716,"acquisition-of-capital-assets","FALSE",3,"Acquisition of Capital Assets",
12717,"acquisition-of-fixed-capital","FALSE",3,"Acquisition of Fixed Capital",
12718,"additional-expenditure","FALSE",4,"Additional Expenditure",
12719,"additional-finance","FALSE",3,"Additional Finance",
12720,"adefa-s-a-nd-others","FALSE",4,"Adefa S A Nd Others",
12721,"adjustment-aid","FALSE",4,"Adjustment Aid",
12722,"adjustment-for-heavily-indebted-poor-countriesmultilateral-debt-relief-initiative-debt-relief","FALSE",2,"Adjustment for Heavily Indebted Poor Countries/Multilateral Debt Relief Initiative Debt Relief","purple"
12723,"adjustment-for-net-withheld-adjara-transfers","FALSE",2,"Adjustment for Net Withheld Adjara Transfers","purple"
12724,"adjustment-on-other-receivables-and-payables","FALSE",2,"Adjustment on Other Receivables and Payables",
12725,"adjustments-and-fiscal-expenditure","FALSE",3,"Adjustments and Fiscal Expenditure",
12726,"administrative-fees","FALSE",4,"Administrative Fees",
12727,"administrative-fees-and-charges","FALSE",4,"Administrative fees and charges",
12728,"administrative-fees-including-license-revenues","FALSE",4,"Administrative Fees, Including License Revenues",
12729,"afghanistan-reconstruction-trust-fund","FALSE",4,"Afghanistan Reconstruction Trust Fund",
12730,"agaciro-development-fund","FALSE",2,"Agaciro Development Fund",
12731,"agricultural-expenditure","FALSE",3,"Agricultural Expenditure",
12732,"agricultural-swap","FALSE",4,"Agricultural Swap",
12733,"agriculture-and-rural-development","FALSE",3,"Agriculture and Rural Development",
12734,"airport-service-charges","FALSE",5,"Airport service charges",
12735,"all-other-tax-national","FALSE",5,"All Other Tax (National)",
12736,"amortization","FALSE",3,"Amortization",
12737,"amortization-due","FALSE",3,"Amortization Due",
12738,"amortization-of-activated-guarantees","FALSE",2,"Amortization of Activated Guarantees",
