"id","entity-name.x","entity-name.y","year","direction","flow-type","flow-name","value","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14"
"ET","Ethiopia","Ethiopia",2013,"out","illicit","trade-mispricing-out",3359031639,,,,,,
"ET","Ethiopia","Ethiopia",2013,"out","illicit","illicit-financing-out",0,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","official","oda-in",3565493249,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","official","oda-capital-payments-out",78758925,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","official","oda-interest-payments-out",48037113,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","official","oofs-in",85743797.82,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","official","oofs-capital-payments-out",22295035,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","official","oofs-interest-payments-out",13404989,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","official","ssc-out",,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","official","long-debt-net-official-in",1710152187,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","commercial","long-debt-disbursement-in",1874710064,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","commercial","long-debt-capital-payments-out",543117481.4,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","commercial","long-debt-interest-payments-out",180827120.2,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","commercial","short-debt-net-flow-in",97277847.41,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","commercial","short-debt-interest-out",3301724.586,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","commercial","net-portfolio-equity-in",,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","commercial","fdi-in",1144445264,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","commercial","fdi-out",,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","commercial","fdi-in-profits-out",0,,,,,,
"ET","Ethiopia","Ethiopia",2014,"in","private","remittances-in",616216818.2,,,,,,
"ET","Ethiopia","Ethiopia",2014,"out","private","remittances-out",,,,,,,
"NG","Nigeria","Nigeria",2013,"out","illicit","trade-mispricing-out",0,,,,,,
"NG","Nigeria","Nigeria",2013,"out","illicit","illicit-financing-out",25223555084,,,,,,
"NG","Nigeria","Nigeria",2014,"in","official","oda-in",2545783781,,,,,,
"NG","Nigeria","Nigeria",2014,"out","official","oda-capital-payments-out",137004185,,,,,,
"NG","Nigeria","Nigeria",2014,"out","official","oda-interest-payments-out",56245288,,,,,,
"NG","Nigeria","Nigeria",2014,"in","official","oofs-in",663948689.7,,,,,,
"NG","Nigeria","Nigeria",2014,"out","official","oofs-capital-payments-out",282196830,,,,,,
"NG","Nigeria","Nigeria",2014,"out","official","oofs-interest-payments-out",27977826,,,,,,
"NG","Nigeria","Nigeria",2014,"out","official","ssc-out",,,,,,,
"NG","Nigeria","Nigeria",2014,"in","official","long-debt-net-official-in",7421256.646,,,,,,
"NG","Nigeria","Nigeria",2014,"in","commercial","long-debt-disbursement-in",6423677085,,,,,,
"NG","Nigeria","Nigeria",2014,"out","commercial","long-debt-capital-payments-out",396644694.5,,,,,,
"NG","Nigeria","Nigeria",2014,"out","commercial","long-debt-interest-payments-out",243040456.3,,,,,,
"NG","Nigeria","Nigeria",2014,"in","commercial","short-debt-net-flow-in",0,,,,,,
"NG","Nigeria","Nigeria",2014,"out","commercial","short-debt-interest-out",0,,,,,,
"NG","Nigeria","Nigeria",2014,"in","commercial","net-portfolio-equity-in",945095998.7,,,,,,
"NG","Nigeria","Nigeria",2014,"in","commercial","fdi-in",4279901350,,,,,,
"NG","Nigeria","Nigeria",2014,"out","commercial","fdi-out",1471932718,,,,,,
"NG","Nigeria","Nigeria",2014,"out","commercial","fdi-in-profits-out",0,,,,,,
"NG","Nigeria","Nigeria",2014,"in","private","remittances-in",19076477081,,,,,,
"NG","Nigeria","Nigeria",2014,"out","private","remittances-out",,,,,,,
