id,sector,year,value
adaptation-fund,agriculture-and-food-security,2011,8645010.43
adaptation-fund,agriculture-and-food-security,2012,4292234.58
adaptation-fund,environment,2010,8203294.12
adaptation-fund,environment,2011,7416920.63
adaptation-fund,environment,2012,3518754.05
adaptation-fund,environment,2014,7859499.75
adaptation-fund,humanitarian,2011,1730487.35
adaptation-fund,humanitarian,2012,1668291.15
adaptation-fund,other,2011,10039781.25
adaptation-fund,other,2012,12115444.07
adaptation-fund,other,2013,6132088.26
adaptation-fund,other,2014,2849498.36
adaptation-fund,water-and-sanitation,2010,12037608.27
adaptation-fund,water-and-sanitation,2011,13858477.11
adaptation-fund,water-and-sanitation,2014,1145775.03
AE,agriculture-and-food-security,2009,184050084.90
AE,agriculture-and-food-security,2010,5406671.15
AE,agriculture-and-food-security,2011,5994684.74
AE,agriculture-and-food-security,2012,2614471.47
AE,agriculture-and-food-security,2013,38981650.97
AE,agriculture-and-food-security,2014,364398555.69
AE,agriculture-and-food-security,2015,232284826.70
AE,education,2009,21201603.77
AE,education,2010,16746157.85
AE,education,2011,28803075.04
AE,education,2012,23495510.67
AE,education,2013,89797170.62
AE,education,2014,125915982.59
AE,education,2015,109650749.80
AE,environment,2010,2359596.46
AE,environment,2011,1171552.95
AE,environment,2012,5934275.13
AE,environment,2013,5491209.35
AE,environment,2014,6470378.13
AE,environment,2015,7622524.10
AE,general-budget-support,2009,5163244.54
AE,general-budget-support,2010,82598311.60
AE,general-budget-support,2011,177029155.44
AE,general-budget-support,2012,155245946.03
AE,general-budget-support,2013,2748404700.18
AE,general-budget-support,2014,193776809.76
AE,general-budget-support,2015,2313115870.00
AE,governance-and-security,2009,175149636.10
AE,governance-and-security,2010,14153491.49
AE,governance-and-security,2011,2947258.48
AE,governance-and-security,2012,4319516.36
AE,governance-and-security,2013,4880003.62
AE,governance-and-security,2014,6983447.09
AE,governance-and-security,2015,119270812.80
AE,health,2009,98842992.56
AE,health,2010,44162034.92
AE,health,2011,51825586.25
AE,health,2012,143973817.45
AE,health,2013,244663891.11
AE,health,2014,175353255.29
AE,health,2015,127802570.60
AE,humanitarian,2009,127982571.15
AE,humanitarian,2010,83406067.01
AE,humanitarian,2011,137316631.70
AE,humanitarian,2012,66933584.09
AE,humanitarian,2013,84366910.83
AE,humanitarian,2014,525005727.69
AE,humanitarian,2015,511128304.30
AE,industry-and-trade,2009,13692613.10
AE,industry-and-trade,2010,40527253.29
AE,industry-and-trade,2011,12291974.53
AE,industry-and-trade,2012,14839638.89
AE,industry-and-trade,2013,911877808.24
AE,industry-and-trade,2014,24354093.73
AE,industry-and-trade,2015,76684100.00
AE,infrastructure,2009,184242286.07
AE,infrastructure,2010,47245373.44
AE,infrastructure,2011,102821458.91
AE,infrastructure,2012,183268884.48
AE,infrastructure,2013,210065843.74
AE,infrastructure,2014,399267328.99
AE,infrastructure,2015,617073258.80
AE,other,2009,61544180.16
AE,other,2010,90325244.06
AE,other,2011,100110348.36
AE,other,2012,85132692.22
AE,other,2013,514270921.93
AE,other,2014,2582836985.67
AE,other,2015,236591561.90
AE,other-social-services,2009,78101992.36
AE,other-social-services,2010,25502473.84
AE,other-social-services,2011,9431055.21
AE,other-social-services,2012,10827729.06
AE,other-social-services,2013,44458296.73
AE,other-social-services,2014,70249817.13
AE,other-social-services,2015,29081607.90
AE,water-and-sanitation,2009,35605774.26
AE,water-and-sanitation,2010,31701675.22
AE,water-and-sanitation,2011,27604401.25
AE,water-and-sanitation,2012,23445106.51
AE,water-and-sanitation,2013,35212707.36
AE,water-and-sanitation,2014,67457636.84
AE,water-and-sanitation,2015,81148657.00
afdb,agriculture-and-food-security,2011,1526131.42
