id,sectoral,level,name,color-id
accounts-payable,FALSE,3,Accounts Payable,
accumulation-of-arrears,FALSE,3,Accumulation of Arrears,
accumulation-of-external-arrears,FALSE,3,Accumulation of External Arrears,
acquisition-of-capital-assets,FALSE,3,Acquisition of Capital Assets,
acquisition-of-fixed-capital,FALSE,3,Acquisition of Fixed Capital,
additional-expenditure,FALSE,4,Additional Expenditure,
additional-finance,FALSE,3,Additional Finance,
adefa-s-a-nd-others,FALSE,4,Adefa S A Nd Others,
adjustment-aid,FALSE,4,Adjustment Aid,
adjustment-for-heavily-indebted-poor-countriesmultilateral-debt-relief-initiative-debt-relief,FALSE,2,Adjustment for Heavily Indebted Poor CountriesMultilateral Debt Relief Initiative Debt Relief,grey-mid
adjustment-for-net-withheld-adjara-transfers,FALSE,2,Adjustment for Net Withheld Adjara Transfers,grey-mid
adjustment-on-other-receivables-and-payables,FALSE,2,Adjustment on Other Receivables and Payables,
adjustments-and-fiscal-expenditure,FALSE,3,Adjustments and Fiscal Expenditure,
administrative-fees,FALSE,4,Administrative Fees,
administrative-fees-and-charges,FALSE,4,Administrative fees and charges,
administrative-fees-including-license-revenues,FALSE,4,Administrative Fees Including License Revenues,
afghanistan-reconstruction-trust-fund,FALSE,4,Afghanistan Reconstruction Trust Fund,
agaciro-development-fund,FALSE,2,Agaciro Development Fund,
agricultural-expenditure,FALSE,3,Agricultural Expenditure,
agricultural-subsidies,FALSE,4,Agricultural Subsidies,
agricultural-swap,FALSE,4,Agricultural Swap,
agriculture-and-rural-development,FALSE,3,Agriculture and Rural Development,
airport-service-charges,FALSE,5,Airport service charges,
all-other-tax-national,FALSE,5,All Other Tax National,
amortization,FALSE,3,Amortization,
amortization-due,FALSE,3,Amortization Due,
amortization-of-activated-guarantees,FALSE,2,Amortization of Activated Guarantees,
amortization-of-domestic-debt,FALSE,3,Amortization of Domestic Debt,
amortization-of-parastatal-debt,FALSE,3,Amortization Of Parastatal Debt,
amortizations,FALSE,3,Amortizations,
annual-development-program-adp,FALSE,3,Annual Development Program ADP,
arrears,FALSE,3,Arrears,
arrears-clearance,FALSE,4,Arrears clearance,
arrears-on-amortization,FALSE,3,Arrears on Amortization,
arrears-payments,FALSE,3,Arrears Payments,
asset-sales,FALSE,2,Asset Sales,
assets-held-abroad,FALSE,3,Assets Held Abroad,
autonomous-and-local-entities,FALSE,4,Autonomous and Local Entities,
bank,FALSE,3,Bank,
bank-balance,FALSE,3,Bank Balance,
bank-financing,FALSE,3,Bank Financing,
bank-of-algeria-dividends-and-interests,FALSE,5,Bank of Algeria Dividends and Interests,
bank-of-botswana-transfers,FALSE,4,Bank of Botswana Transfers,
banking-system,FALSE,3,Banking System,
banking-system-restructuring,FALSE,2,Banking System Restructuring,
banks,FALSE,3,Banks,
banks-and-others,FALSE,3,Banks and Others,
banks-recapitalization,FALSE,3,Banks Recapitalization,
basket-grants,FALSE,4,Basket Grants,
before-rescheduling,FALSE,5,Before Rescheduling,
benefits,FALSE,3,Benefits,
benefits-and-programs-of-social-security-fund,FALSE,4,Benefits and Programs of Social Security Fund,
bilateral-agencies,FALSE,4,Bilateral Agencies,
bilateral-and-multilatera,FALSE,3,Bilateral and Multilatera,
bilateral-rescheduling,FALSE,3,Bilateral Rescheduling,
block-allocations,FALSE,3,Block Allocations,
block-grants-to-states,FALSE,4,Block grants to states,
bond-financing,FALSE,3,Bond Financing,
bond-issues,FALSE,3,Bond Issues,
bonds,FALSE,3,Bonds,
bonds-and-loans,FALSE,3,Bonds and loans,
bonds-issuance,FALSE,3,Bonds Issuance,
bonuses-and-rents,FALSE,5,Bonuses and Rents,
borrowing,FALSE,2,Borrowing,grey-mid
budget,FALSE,3,Budget,
budget-grants,FALSE,3,Budget Grants,
budget-loans,FALSE,4,Budget Loans,
budget-reserve,FALSE,3,Budget Reserve,
budget-support,FALSE,3,Budget Support,
budget-support-grants,FALSE,3,Budget Support Grants,
budgetary-loans,FALSE,4,Budgetary Loans,
budgeted-goods-and-services,FALSE,4,Budgeted Goods and Services,
business-tax,FALSE,4,Business Tax,
capita-expenditure,FALSE,2,Capita Expenditure,
capital,FALSE,2,Capital,
capital-excluding-fiji-sugar-corporation,FALSE,2,Capital (Excluding Fiji Sugar Corporation),
capital-expenditure,FALSE,2,Capital expenditure,
capital-expenditure-and-net-lending,FALSE,2,Capital expenditure and net lending,
capital-expenditures,FALSE,2,Capital Expenditures,
capital-formation,FALSE,3,Capital Formation,
capital-gain-tax,FALSE,5,Capital Gain Tax,
capital-grants,FALSE,2,Capital Grants,
capital-income,FALSE,3,Capital Income,
capital-revenue,FALSE,3,Capital Revenue,
capital-revenue-and-grants,FALSE,2,Capital Revenue and Grants,
capital-revenues,FALSE,3,Capital Revenues,
capital-transfers,FALSE,2,Capital Transfers,
capital-transfers-and-equity,FALSE,3,Capital Transfers and Equity,
capital-transfers-and-other,FALSE,3,Capital Transfers and Other,
capitalization-of-state-owned-enterpsirses,FALSE,3,Capitalization of State Owned Enterpsirses,
carry-over-expenditure,FALSE,2,Carry Over Expenditure,
cash-account,FALSE,3,cash account,
cash-basis-adjustment,FALSE,2,Cash Basis Adjustment,grey-mid
cash-float-and-discrepancy,FALSE,2,Cash Float and Discrepancy,grey-mid
cash-fuel-subsidies,FALSE,4,Cash Fuel Subsidies,
census,FALSE,4,Census,
central-bank,FALSE,3,Central Bank,
central-bank-deposits,FALSE,3,Central Bank Deposits,
central-bank-of-jordan--onlending-of-net-imf-financing,FALSE,3,Central Bank of Jordan  On-Lending Of Net IMF Financing,
central-bank-of-myanmar,FALSE,3,Central Bank of Myanmar,
central-bank-of-the-gambia-unrealized-profits,FALSE,3,Central Bank of The Gambia Unrealized Profits,
central-bank-operating-balance,FALSE,4,Central Bank Operating Balance,
central-bank-operational-deficit,FALSE,3,Central Bank Operational Deficit,
central-government,FALSE,3,Central Government,
change-in--arrears,FALSE,3,Change in  arrears,
change-in-accrued-interest,FALSE,2,Change in Accrued Interest,
change-in-amortization-arrears,FALSE,3,Change in Amortization Arrears,
change-in-arrears,FALSE,2,Change In Arrears,grey-mid
change-in-arrears-and-float,FALSE,3,Change In Arrears And Float,
change-in-cash-and-other-items,FALSE,2,Change in Cash and Other Items,
change-in-cash-balance,FALSE,3,Change In Cash Balance,
change-in-deposits-at-central-bank,FALSE,3,Change in Deposits at Central Bank,
change-in-external-arrears,FALSE,3,Change in external arrears,
change-in-government-assets,FALSE,2,Change In Government Assets,
change-in-net-arrears-principal,FALSE,3,Change In Net Arrears Principal,
change-in-non-trust-assets,FALSE,2,Change in Non- Trust Assets,
change-in-outstanding-letters-of-credit,FALSE,2,Change in Outstanding Letters of Credit,
change-in-sinking-fund-net,FALSE,3,Change in Sinking Fund Net,
change-in-social-fund-cash-balance,FALSE,2,Change in Social Fund Cash Balance,grey-mid
change-in-unpaid-invoices,FALSE,2,Change in Unpaid Invoices,
changes-in-arrears,FALSE,3,Changes In Arrears,
check-float-plus-discrepancy,FALSE,2,Check float Plus Discrepancy,grey-mid
cigarette-tax,FALSE,5,Cigarette Tax,
civil-expenditure,FALSE,4,Civil Expenditure,
civil-service,FALSE,4,Civil Service,
civil-service-reform,FALSE,3,Civil Service Reform,
civil-service-wages-and-salaries,FALSE,3,Civil Service Wages and Salaries,
clearance-of-arrears,FALSE,3,Clearance of Arrears,
clearance-of-deferred-arrears-and-debt-service,FALSE,3,Clearance of Deferred Arrears and Debt Service,
clearance-of-zesco-tax-arrear,FALSE,4,Clearance of Zesco Tax Arrear,
