finance_type,concept,flow_type
Private,bl_remittances,remittances
Official,bl_ha,ha
Commercial,bundle_fdi,fdi
Reverse,from_fdi_profits,fdi
Illicit,from_illicitfinance,illicit_finance
Commercial,from_longdebt_capital,longdebt
Illicit,from_trademispricing,illicit_finance
Domestic,govtspend_pc,govtspend
Domestic,govtspend_USD,govtspend
Commercial,in_fdi,fdi
Reverse,in_fdi_profits,fdi
Official,in_ha,ha
Official,in_remittances,remittances
Commercial,in_shortdebt,shortdebt
Commercial,in_longdebt,longdebt
Official,in_oda_gross,oda
Official,in_oofs_gross,oofs
Commercial,in_portfeq,portfeq
Domestic,taxrev_%GDP,govtrev
Official,oda-per-poor-person,oda
Official,oda-sector-aid-bundle-usd-current,oda
Official,oda-sector-usd-current,oda
Official,out_DFIs_coms,dfi
Official,out_DFIs_disbs,dfi
Commercial,out_fdi,fdi
Private,out_PDA,pda
Private,out_remittances,remittances
Official,in-oda-gross,oda
Official,in-oda-gross-bundle,oda
Official,in-oda-gross-channel,oda
Official,in-oda-gross-channel-bundle,oda
Official,in-oda-gross-sector,oda
Official,in-oda-gross-sector-bundle,oda
Official,in-oda-gross-sector-channel,oda
Official,oda-gross-bl,oda
Official,oda-gross-bl-bundle,oda
Official,oda-gross-bl-channel,oda
Official,oda-gross-bl-sector,oda
Official,out-oda-gross,oda
Official,out-oda-gross-bundle,oda
Official,out-oda-gross-channel,oda
Official,out-oda-gross-channel-bundle,oda
Official,out-oda-gross-sector,oda
Official,out-oda-gross-sector-bundle,oda
Official,out-oda-gross-sector-channel,oda
Reverse,from-oda-capital,oda
Reverse,from-oda-interest,oda
Reverse,to-oda-capital,oda
Reverse,to-oda-interest,oda
Reverse,from-oof-capital,oof
Reverse,from-oof-interest,oof
Official,in-oof-bundle,oof
Official,out-oof-bundle,oof
Official,out-oof-gross,oof
Official,in-oof-gross,oof
Reverse,to-oof-capital,oof
Reverse,to-oof-interest,oof
Official,oda-gross-bl-dest-region,oda
