code,year,value,budget-type
AF,2000,,Actual
AF,2001,,Actual
AF,2002,,Actual
AF,2003,61.6581666,Actual
AF,2004,59.01817742,Actual
AF,2005,64.47799301,Actual
AF,2006,63.49206349,Actual
AF,2007,55.41795666,Actual
AF,2008,61.52073733,Actual
AF,2009,55.76923077,Actual
AF,2010,49.76265823,Actual
AF,2011,48.28362409,Actual
AF,2012,59.82348427,Actual
AF,2013,59.91173225,Actual
AF,2014,64.31120628,Actual
AF,2015,64.72311749,Projected 
AF,2016,,Projected 
AF,2017,,Projected 
AF,2018,,Projected 
AF,2019,,Projected 
AF,2020,,Projected 
AG,2000,18.09045226,Actual
AG,2001,2.76797829,Actual
AG,2002,5.819477435,Actual
AG,2003,0.743667209,Actual
AG,2004,1.130890052,Actual
AG,2005,3.947368421,Actual
AG,2006,10.98096633,Actual
AG,2007,2.645502646,Actual
AG,2008,3.861003861,Actual
AG,2009,0,Actual
AG,2010,6.531204644,Actual
AG,2011,3.691813804,Actual
AG,2012,0.149253731,Actual
AG,2013,0,Actual
AG,2014,0.729927007,Projected 
AG,2015,0,Projected 
AG,2016,0,Projected 
AG,2017,0,Projected 
AG,2018,0,Projected 
AG,2019,0,Projected 
AG,2020,0,Projected 
AL,2000,4.371892372,Actual
AL,2001,2.637422656,Actual
AL,2002,2.652005175,Actual
AL,2003,1.56062425,Actual
AL,2004,1.411509229,Actual
AL,2005,3.042198234,Actual
AL,2006,2.121078215,Actual
AL,2007,0.523560209,Actual
AL,2008,1.443795119,Actual
AL,2009,1.474036851,Actual
AL,2010,1.434362332,Actual
AL,2011,1.150121065,Actual
AL,2012,1.694915254,Actual
AL,2013,1.760889713,Actual
AL,2014,2.781565312,Projected 
AL,2015,2.9607698,Projected 
AL,2016,2.931818182,Projected 
AL,2017,2.926315789,Projected 
AL,2018,2.927400468,Projected 
AL,2019,2.916138381,Projected 
AL,2020,,Projected 
AM,2000,,Actual
AM,2001,9.231536926,Actual
AM,2002,18.49688474,Actual
