id,year,value,budget-type
AE,2000,,actual
AE,2001,,actual
AE,2002,,actual
AE,2003,,actual
AE,2004,,actual
AE,2005,,actual
AE,2006,,actual
AE,2007,,actual
AE,2008,,actual
AE,2009,,actual
AE,2010,,actual
AE,2011,,actual
AE,2012,33617.6008758174,actual
AE,2013,34364.4666995291,actual
AE,2014,31819.1366688666,actual
AE,2015,20864.7639108969,proj
AE,2016,21380.8702223093,proj
AE,2017,23195.5237773079,proj
AE,2018,25119.7032920135,proj
AE,2019,26592.8249209229,proj
AE,2020,27804.2063154424,proj
AF,2000,,actual
AF,2001,,actual
AF,2002,,actual
AF,2003,14.6410901968,actual
AF,2004,25.4103532089,actual
AF,2005,39.4862013697,actual
AF,2006,64.869638693,actual
AF,2007,78.4143942527,actual
AF,2008,119.6997604687,actual
AF,2009,122.5355731088,actual
AF,2010,174.5220658325,actual
AF,2011,264.1405963877,actual
AF,2012,409.9706008992,actual
AF,2013,434.1506035407,actual
AF,2014,451.1776959904,actual
AF,2015,542.582613438,proj
AF,2016,,proj
AF,2017,,proj
AF,2018,,proj
AF,2019,,proj
AF,2020,,proj
AG,2000,2542.4567933771,actual
AG,2001,2399.2362545029,actual
AG,2002,2737.1466114862,actual
AG,2003,2735.1041796404,actual
AG,2004,3144.226166016,actual
AG,2005,3582.189066471,actual
AG,2006,4586.4017472951,actual
AG,2007,5319.4313650698,actual
AG,2008,5558.9625536361,actual
AG,2009,4315.0651087763,actual
AG,2010,4964.4314753727,actual
AG,2011,4498.7181642999,actual
AG,2012,4978.6647437261,actual
AG,2013,4354.5285773838,proj
AG,2014,4764.9012441356,proj
AG,2015,5367.9810002639,proj
AG,2016,5418.7239782173,proj
AG,2017,5696.0276073025,proj
AG,2018,6062.3554943099,proj
AG,2019,6437.9233731608,proj
AG,2020,6845.6837607238,proj
AL,2000,612.994464851,actual
AL,2001,708.8662307273,actual
AL,2002,818.6977264248,actual
AL,2003,931.4675448663,actual
AL,2004,1066.8976454872,actual
AL,2005,1225.9363333798,actual
AL,2006,1403.4124810184,actual
AL,2007,1619.8355946375,actual
AL,2008,1991.3001534259,actual
AL,2009,2106.3184331418,actual
AL,2010,2376.8246782755,actual
AL,2011,2512.3040357513,actual
AL,2012,2542.8700286226,actual
AL,2013,2501.0896295299,actual
AL,2014,2876.1304563571,actual
AL,2015,2981.0242218139,actual
AL,2016,3275.0591514923,proj
AL,2017,3527.0333598973,proj
AL,2018,3871.9647209228,proj
AL,2019,4274.529949671,proj
AL,2020,4717.9115465117,proj
AL,2021,5207.5731807564,proj
AM,2000,,actual
AM,2001,190.485274516,actual
AM,2002,247.16192394,actual
AM,2003,291.6649947648,actual
AM,2004,316.1404746497,actual
AM,2005,392.9352565301,actual
AM,2006,559.3222845565,actual
AM,2007,775.3097997507,actual
AM,2008,952.2210031297,actual
AM,2009,879.0287897698,actual
AM,2010,1064.6251641424,actual
AM,2011,1261.7028216176,actual
AM,2012,1417.7701598613,actual
AM,2013,1684.4403935417,proj
AM,2014,1785.6996012565,proj
AM,2015,1952.8168725133,proj
AM,2016,2117.6318993407,proj
AM,2017,,proj
AM,2018,,proj
AM,2019,,proj
AM,2020,,proj
AO,2000,,actual
AO,2001,,actual
AO,2002,,actual
AO,2003,,actual
AO,2004,,actual
AO,2005,,actual
AO,2006,630.1082581337,actual
AO,2007,869.6956025105,actual
AO,2008,1529.3696146054,actual
AO,2009,884.8418293686,actual
AO,2010,1673.1098834791,actual
AO,2011,2922.8741822839,actual
AO,2012,3215.1643240307,actual
AO,2013,3070.0026009811,actual
AO,2014,2669.4910633982,proj
