"id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,33617.5866788321,"actual"
"AE",2013,34364.4114715978,"actual"
"AE",2014,31819.1786712535,"actual"
"AE",2015,20864.7322826427,"proj"
"AE",2016,21380.8847402597,"proj"
"AE",2017,23195.4827892297,"proj"
"AE",2018,25119.7507190796,"proj"
"AE",2019,26592.7993301702,"proj"
"AE",2020,27804.1888597996,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,14.641090197266,"actual"
"AF",2004,25.4103532078771,"actual"
"AF",2005,39.4862013716262,"actual"
"AF",2006,64.8696386797238,"actual"
"AF",2007,78.414394246461,"actual"
"AF",2008,119.699760469074,"actual"
"AF",2009,122.535573119677,"actual"
"AF",2010,174.522065849708,"actual"
"AF",2011,264.140596392372,"actual"
"AF",2012,409.970600905281,"actual"
"AF",2013,434.150603535188,"actual"
"AF",2014,451.177695994117,"actual"
"AF",2015,542.582613428313,"proj"
"AF",2016,,"proj"
"AF",2017,,"proj"
"AF",2018,,"proj"
"AF",2019,,"proj"
"AF",2020,,"proj"
"AG",2000,2542.45679342105,"actual"
"AG",2001,2399.23625454545,"actual"
"AG",2002,2737.14661153846,"actual"
"AG",2003,2735.10417974684,"actual"
"AG",2004,3144.22616582278,"actual"
"AG",2005,3582.18906625,"actual"
"AG",2006,4586.40174691358,"actual"
"AG",2007,5319.43136463415,"actual"
"AG",2008,5558.96255421687,"actual"
"AG",2009,4315.06510833333,"actual"
"AG",2010,4964.43147529412,"actual"
"AG",2011,4498.71816395349,"actual"
"AG",2012,4978.66474418605,"actual"
"AG",2013,4354.52857701149,"proj"
"AG",2014,4764.90124431818,"proj"
"AG",2015,5367.981,"proj"
"AG",2016,5418.72397777778,"proj"
"AG",2017,5696.02760769231,"proj"
"AG",2018,6062.35549456522,"proj"
"AG",2019,6437.92337311828,"proj"
"AG",2020,6845.6837606383,"proj"
"AL",2000,612.994464875364,"actual"
"AL",2001,708.866230718954,"actual"
"AL",2002,818.69772631924,"actual"
"AL",2003,931.467544736842,"actual"
"AL",2004,1066.89764552362,"actual"
"AL",2005,1225.93633344404,"actual"
"AL",2006,1403.41248112262,"actual"
"AL",2007,1619.83559461279,"actual"
"AL",2008,1991.30015337631,"actual"
"AL",2009,2106.31843306011,"actual"
"AL",2010,2376.82467833848,"actual"
"AL",2011,2512.30403580034,"actual"
"AL",2012,2542.87002862069,"actual"
"AL",2013,2501.08962961684,"actual"
"AL",2014,2876.13045646164,"actual"
"AL",2015,2981.02422187608,"actual"
"AL",2016,3275.05915147314,"proj"
"AL",2017,3527.03336006944,"proj"
"AL",2018,3871.96472079277,"proj"
"AL",2019,4274.52994984326,"proj"
"AL",2020,4717.91154656435,"proj"
"AL",2021,5207.57318064291,"proj"
"AM",2000,,"actual"
"AM",2001,190.485274509804,"actual"
"AM",2002,247.161923934426,"actual"
"AM",2003,291.664994769737,"actual"
"AM",2004,316.140474653465,"actual"
"AM",2005,392.935256478405,"actual"
"AM",2006,559.322284666667,"actual"
"AM",2007,775.309799665552,"actual"
"AM",2008,952.221003020134,"actual"
"AM",2009,879.02878989899,"actual"
"AM",2010,1064.62516418919,"actual"
"AM",2011,1261.70282162162,"actual"
"AM",2012,1417.77015993266,"actual"
"AM",2013,1684.44039362416,"proj"
