id-to,year,destination-institution-type,creditor-type,creditor-institution,financing-type,value
AF,2006,ppg,official,bilateral,concessional,61549792.85
AF,2006,ppg,official,bilateral,non-concessional,0
AF,2006,ppg,official,multilateral,concessional,43846202.96
AF,2006,ppg,official,multilateral,non-concessional,0
AF,2007,ppg,official,bilateral,concessional,0
AF,2007,ppg,official,bilateral,non-concessional,0
AF,2007,ppg,official,multilateral,concessional,0
AF,2007,ppg,official,multilateral,non-concessional,0
AF,2008,ppg,official,bilateral,concessional,10265.5452
AF,2008,ppg,official,bilateral,non-concessional,0
AF,2008,ppg,official,multilateral,concessional,0
AF,2008,ppg,official,multilateral,non-concessional,0
AF,2009,ppg,official,bilateral,concessional,0
AF,2009,ppg,official,bilateral,non-concessional,0
AF,2009,ppg,official,multilateral,concessional,6781307.41
AF,2009,ppg,official,multilateral,non-concessional,0
AF,2010,ppg,official,bilateral,concessional,0
AF,2010,ppg,official,bilateral,non-concessional,0
AF,2010,ppg,official,multilateral,concessional,0
AF,2010,ppg,official,multilateral,non-concessional,0
AF,2011,ppg,official,bilateral,concessional,0
AF,2011,ppg,official,bilateral,non-concessional,0
AF,2011,ppg,official,multilateral,concessional,0
AF,2011,ppg,official,multilateral,non-concessional,0
AF,2012,ppg,official,bilateral,concessional,0
AF,2012,ppg,official,bilateral,non-concessional,0
AF,2012,ppg,official,multilateral,concessional,0
AF,2012,ppg,official,multilateral,non-concessional,0
AF,2013,ppg,official,bilateral,concessional,0
AF,2013,ppg,official,bilateral,non-concessional,0
AF,2013,ppg,official,multilateral,concessional,8887162.606
AF,2013,ppg,official,multilateral,non-concessional,0
AG,2000,ppg,official,bilateral,concessional,
AG,2000,ppg,official,bilateral,non-concessional,
AG,2000,ppg,official,multilateral,concessional,
AG,2000,ppg,official,multilateral,non-concessional,
AG,2001,ppg,official,bilateral,concessional,
AG,2001,ppg,official,bilateral,non-concessional,
AG,2001,ppg,official,multilateral,concessional,
AG,2001,ppg,official,multilateral,non-concessional,
AG,2002,ppg,official,bilateral,concessional,
AG,2002,ppg,official,bilateral,non-concessional,
AG,2002,ppg,official,multilateral,concessional,
AG,2002,ppg,official,multilateral,non-concessional,
AG,2003,ppg,official,bilateral,concessional,
AG,2003,ppg,official,bilateral,non-concessional,
AG,2003,ppg,official,multilateral,concessional,
AG,2003,ppg,official,multilateral,non-concessional,
AG,2004,ppg,official,bilateral,concessional,
AG,2004,ppg,official,bilateral,non-concessional,
AG,2004,ppg,official,multilateral,concessional,
AG,2004,ppg,official,multilateral,non-concessional,
AG,2005,ppg,official,bilateral,concessional,
AG,2005,ppg,official,bilateral,non-concessional,
AG,2005,ppg,official,multilateral,concessional,
AG,2005,ppg,official,multilateral,non-concessional,
AG,2006,ppg,official,bilateral,concessional,
AG,2006,ppg,official,bilateral,non-concessional,
AG,2006,ppg,official,multilateral,concessional,
AG,2006,ppg,official,multilateral,non-concessional,
AG,2007,ppg,official,bilateral,concessional,
AG,2007,ppg,official,bilateral,non-concessional,
AG,2007,ppg,official,multilateral,concessional,
AG,2007,ppg,official,multilateral,non-concessional,
AG,2008,ppg,official,bilateral,concessional,
AG,2008,ppg,official,bilateral,non-concessional,
AG,2008,ppg,official,multilateral,concessional,
AG,2008,ppg,official,multilateral,non-concessional,
AG,2009,ppg,official,bilateral,concessional,
AG,2009,ppg,official,bilateral,non-concessional,
AG,2009,ppg,official,multilateral,concessional,
AG,2009,ppg,official,multilateral,non-concessional,
AG,2010,ppg,official,bilateral,concessional,
AG,2010,ppg,official,bilateral,non-concessional,
AG,2010,ppg,official,multilateral,concessional,
AG,2010,ppg,official,multilateral,non-concessional,
AG,2011,ppg,official,bilateral,concessional,
AG,2011,ppg,official,bilateral,non-concessional,
AG,2011,ppg,official,multilateral,concessional,
AG,2011,ppg,official,multilateral,non-concessional,
AG,2012,ppg,official,bilateral,concessional,
AG,2012,ppg,official,bilateral,non-concessional,
AG,2012,ppg,official,multilateral,concessional,
AG,2012,ppg,official,multilateral,non-concessional,
AG,2013,ppg,official,bilateral,concessional,
AG,2013,ppg,official,bilateral,non-concessional,
AG,2013,ppg,official,multilateral,concessional,
AG,2013,ppg,official,multilateral,non-concessional,
AL,2000,ppg,official,bilateral,concessional,0
AL,2000,ppg,official,bilateral,non-concessional,11490401.48
AL,2000,ppg,official,multilateral,concessional,0
AL,2000,ppg,official,multilateral,non-concessional,59340544.84
AL,2001,ppg,official,bilateral,concessional,17914923.49
AL,2001,ppg,official,bilateral,non-concessional,27453015.6
AL,2001,ppg,official,multilateral,concessional,0
AL,2001,ppg,official,multilateral,non-concessional,17819542.46
AL,2002,ppg,official,bilateral,concessional,5634298.229
AL,2002,ppg,official,bilateral,non-concessional,1389628.375
AL,2002,ppg,official,multilateral,concessional,14602444.29
AL,2002,ppg,official,multilateral,non-concessional,0
AL,2003,ppg,official,bilateral,concessional,3711519.884
AL,2003,ppg,official,bilateral,non-concessional,0
AL,2003,ppg,official,multilateral,concessional,0
AL,2003,ppg,official,multilateral,non-concessional,961405.9447
AL,2004,ppg,official,bilateral,concessional,0
AL,2004,ppg,official,bilateral,non-concessional,0
AL,2004,ppg,official,multilateral,concessional,0
AL,2004,ppg,official,multilateral,non-concessional,0
AL,2005,ppg,official,bilateral,concessional,0
AL,2005,ppg,official,bilateral,non-concessional,0
AL,2005,ppg,official,multilateral,concessional,0
AL,2005,ppg,official,multilateral,non-concessional,0
AL,2006,ppg,official,bilateral,concessional,7901253.65
AL,2006,ppg,official,bilateral,non-concessional,0
AL,2006,ppg,official,multilateral,concessional,3295714.977
AL,2006,ppg,official,multilateral,non-concessional,0
AL,2007,ppg,official,bilateral,concessional,0
AL,2007,ppg,official,bilateral,non-concessional,0
AL,2007,ppg,official,multilateral,concessional,0
AL,2007,ppg,official,multilateral,non-concessional,0
AL,2008,ppg,official,bilateral,concessional,0
AL,2008,ppg,official,bilateral,non-concessional,0
AL,2008,ppg,official,multilateral,concessional,18483512.47
AL,2008,ppg,official,multilateral,non-concessional,0
AL,2009,ppg,official,bilateral,concessional,0
AL,2009,ppg,official,bilateral,non-concessional,196212.6644
AL,2009,ppg,official,multilateral,concessional,33587304.15
AL,2009,ppg,official,multilateral,non-concessional,0
AL,2010,ppg,official,bilateral,concessional,0
AL,2010,ppg,official,bilateral,non-concessional,0
AL,2010,ppg,official,multilateral,concessional,39191754.64
AL,2010,ppg,official,multilateral,non-concessional,0
AL,2011,ppg,official,bilateral,concessional,0
AL,2011,ppg,official,bilateral,non-concessional,3411280.308
AL,2011,ppg,official,multilateral,concessional,29154348.76
AL,2011,ppg,official,multilateral,non-concessional,0
AL,2012,ppg,official,bilateral,concessional,0
AL,2012,ppg,official,bilateral,non-concessional,4010000
AL,2012,ppg,official,multilateral,concessional,63852000
AL,2012,ppg,official,multilateral,non-concessional,0
AL,2013,ppg,official,bilateral,concessional,1411421.755
AL,2013,ppg,official,bilateral,non-concessional,0
AL,2013,ppg,official,multilateral,concessional,40188006.63
AL,2013,ppg,official,multilateral,non-concessional,0
AM,2000,ppg,official,bilateral,concessional,2518333.76
AM,2000,ppg,official,bilateral,non-concessional,0
AM,2000,ppg,official,multilateral,concessional,34266365.07
AM,2000,ppg,official,multilateral,non-concessional,0
AM,2001,ppg,official,bilateral,concessional,6087091.731
AM,2001,ppg,official,bilateral,non-concessional,0
AM,2001,ppg,official,multilateral,concessional,9983380.613
AM,2001,ppg,official,multilateral,non-concessional,20382761.12
AM,2002,ppg,official,bilateral,concessional,10023433.44
AM,2002,ppg,official,bilateral,non-concessional,0
AM,2002,ppg,official,multilateral,concessional,4899694.895
AM,2002,ppg,official,multilateral,non-concessional,344884.4456
AM,2003,ppg,official,bilateral,concessional,5241516.795
AM,2003,ppg,official,bilateral,non-concessional,0
AM,2003,ppg,official,multilateral,concessional,25427179.89
AM,2003,ppg,official,multilateral,non-concessional,0
AM,2004,ppg,official,bilateral,concessional,7215542.072
AM,2004,ppg,official,bilateral,non-concessional,0
AM,2004,ppg,official,multilateral,concessional,14290957.49
AM,2004,ppg,official,multilateral,non-concessional,0
AM,2005,ppg,official,bilateral,concessional,5292907.204
AM,2005,ppg,official,bilateral,non-concessional,0
AM,2005,ppg,official,multilateral,concessional,0
AM,2005,ppg,official,multilateral,non-concessional,0
AM,2006,ppg,official,bilateral,concessional,1650725.237
AM,2006,ppg,official,bilateral,non-concessional,0
AM,2006,ppg,official,multilateral,concessional,0
AM,2006,ppg,official,multilateral,non-concessional,0
AM,2007,ppg,official,bilateral,concessional,0
AM,2007,ppg,official,bilateral,non-concessional,0
AM,2007,ppg,official,multilateral,concessional,0
AM,2007,ppg,official,multilateral,non-concessional,0
AM,2008,ppg,official,bilateral,concessional,0
AM,2008,ppg,official,bilateral,non-concessional,0
AM,2008,ppg,official,multilateral,concessional,0
AM,2008,ppg,official,multilateral,non-concessional,0
AM,2009,ppg,official,bilateral,concessional,491313573.8
AM,2009,ppg,official,bilateral,non-concessional,0
AM,2009,ppg,official,multilateral,concessional,0
AM,2009,ppg,official,multilateral,non-concessional,0
AM,2010,ppg,official,bilateral,concessional,0
AM,2010,ppg,official,bilateral,non-concessional,0
AM,2010,ppg,official,multilateral,concessional,0
AM,2010,ppg,official,multilateral,non-concessional,0
AM,2011,ppg,official,bilateral,concessional,0
AM,2011,ppg,official,bilateral,non-concessional,0
AM,2011,ppg,official,multilateral,concessional,0
AM,2011,ppg,official,multilateral,non-concessional,0
AM,2012,ppg,official,bilateral,concessional,0
AM,2012,ppg,official,bilateral,non-concessional,0
AM,2012,ppg,official,multilateral,concessional,0
AM,2012,ppg,official,multilateral,non-concessional,0
AM,2013,ppg,official,bilateral,concessional,1286982.235
AM,2013,ppg,official,bilateral,non-concessional,0
AM,2013,ppg,official,multilateral,concessional,0
AM,2013,ppg,official,multilateral,non-concessional,0
AO,2000,ppg,official,bilateral,concessional,0
AO,2000,ppg,official,bilateral,non-concessional,0
AO,2000,ppg,official,multilateral,concessional,64177702.94
AO,2000,ppg,official,multilateral,non-concessional,0
AO,2001,ppg,official,bilateral,concessional,2341267.914
AO,2001,ppg,official,bilateral,non-concessional,0
AO,2001,ppg,official,multilateral,concessional,32268129.9
AO,2001,ppg,official,multilateral,non-concessional,3472394.841
AO,2002,ppg,official,bilateral,concessional,0
AO,2002,ppg,official,bilateral,non-concessional,0
AO,2002,ppg,official,multilateral,concessional,51091138.29
AO,2002,ppg,official,multilateral,non-concessional,284223.0148
AO,2003,ppg,official,bilateral,concessional,20761641.9
AO,2003,ppg,official,bilateral,non-concessional,462727048.2
AO,2003,ppg,official,multilateral,concessional,7393423.042
AO,2003,ppg,official,multilateral,non-concessional,14978067.55
AO,2004,ppg,official,bilateral,concessional,0
AO,2004,ppg,official,bilateral,non-concessional,1429270457
AO,2004,ppg,official,multilateral,concessional,37018410.86
AO,2004,ppg,official,multilateral,non-concessional,1190742.64
AO,2005,ppg,official,bilateral,concessional,391793687
AO,2005,ppg,official,bilateral,non-concessional,200607882.1
AO,2005,ppg,official,multilateral,concessional,31017136.14
AO,2005,ppg,official,multilateral,non-concessional,0
AO,2006,ppg,official,bilateral,concessional,590030541
AO,2006,ppg,official,bilateral,non-concessional,224860272.3
AO,2006,ppg,official,multilateral,concessional,11223416.32
AO,2006,ppg,official,multilateral,non-concessional,0
AO,2007,ppg,official,bilateral,concessional,1029901801
AO,2007,ppg,official,bilateral,non-concessional,314261322.2
AO,2007,ppg,official,multilateral,concessional,3304654.161
AO,2007,ppg,official,multilateral,non-concessional,0
AO,2008,ppg,official,bilateral,concessional,1147408575
AO,2008,ppg,official,bilateral,non-concessional,0
AO,2008,ppg,official,multilateral,concessional,41545.07224
AO,2008,ppg,official,multilateral,non-concessional,0
AO,2009,ppg,official,bilateral,concessional,1354561773
AO,2009,ppg,official,bilateral,non-concessional,72788734.93
AO,2009,ppg,official,multilateral,concessional,4736938.074
AO,2009,ppg,official,multilateral,non-concessional,0
AO,2010,ppg,official,bilateral,concessional,188147637.2
AO,2010,ppg,official,bilateral,non-concessional,4369220423
AO,2010,ppg,official,multilateral,concessional,2762985.23
AO,2010,ppg,official,multilateral,non-concessional,0
AO,2011,ppg,official,bilateral,concessional,183426145.6
AO,2011,ppg,official,bilateral,non-concessional,2223056733
AO,2011,ppg,official,multilateral,concessional,0
AO,2011,ppg,official,multilateral,non-concessional,0
AO,2012,ppg,official,bilateral,concessional,480334000
AO,2012,ppg,official,bilateral,non-concessional,442801000
AO,2012,ppg,official,multilateral,concessional,0
AO,2012,ppg,official,multilateral,non-concessional,0
AO,2013,ppg,official,bilateral,concessional,241365945.9
AO,2013,ppg,official,bilateral,non-concessional,3156451176
AO,2013,ppg,official,multilateral,concessional,0
AO,2013,ppg,official,multilateral,non-concessional,0
AR,2000,ppg,official,bilateral,concessional,0
AR,2000,ppg,official,bilateral,non-concessional,0
AR,2000,ppg,official,multilateral,concessional,0
AR,2000,ppg,official,multilateral,non-concessional,0
AR,2001,ppg,official,bilateral,concessional,7909631.941
AR,2001,ppg,official,bilateral,non-concessional,0
AR,2001,ppg,official,multilateral,concessional,0
AR,2001,ppg,official,multilateral,non-concessional,0
AR,2002,ppg,official,bilateral,concessional,819694.6271
AR,2002,ppg,official,bilateral,non-concessional,2516109504
AR,2002,ppg,official,multilateral,concessional,8138882.323
AR,2002,ppg,official,multilateral,non-concessional,1333187231
AR,2003,ppg,official,bilateral,concessional,0
AR,2003,ppg,official,bilateral,non-concessional,0
AR,2003,ppg,official,multilateral,concessional,5008180.704
AR,2003,ppg,official,multilateral,non-concessional,5806185522
AR,2004,ppg,official,bilateral,concessional,27076150.34
AR,2004,ppg,official,bilateral,non-concessional,0
AR,2004,ppg,official,multilateral,concessional,4438844.89
AR,2004,ppg,official,multilateral,non-concessional,1160559679
AR,2005,ppg,official,bilateral,concessional,0
AR,2005,ppg,official,bilateral,non-concessional,0
AR,2005,ppg,official,multilateral,concessional,2681400.914
AR,2005,ppg,official,multilateral,non-concessional,712124512
AR,2006,ppg,official,bilateral,concessional,0
AR,2006,ppg,official,bilateral,non-concessional,0
AR,2006,ppg,official,multilateral,concessional,6329423.584
AR,2006,ppg,official,multilateral,non-concessional,1369357950
AR,2007,ppg,official,bilateral,concessional,0
AR,2007,ppg,official,bilateral,non-concessional,0
AR,2007,ppg,official,multilateral,concessional,51481493.89
AR,2007,ppg,official,multilateral,non-concessional,1917727530
AR,2008,ppg,official,bilateral,concessional,5826794.104
AR,2008,ppg,official,bilateral,non-concessional,0
AR,2008,ppg,official,multilateral,concessional,380520273.9
AR,2008,ppg,official,multilateral,non-concessional,914809322.4
AR,2009,ppg,official,bilateral,concessional,22250086.44
AR,2009,ppg,official,bilateral,non-concessional,631731286.5
AR,2009,ppg,official,multilateral,concessional,477215515.2
AR,2009,ppg,official,multilateral,non-concessional,1206327391
AR,2010,ppg,official,bilateral,concessional,0
AR,2010,ppg,official,bilateral,non-concessional,0
AR,2010,ppg,official,multilateral,concessional,214027371.3
AR,2010,ppg,official,multilateral,non-concessional,986749679.6
AR,2011,ppg,official,bilateral,concessional,970246.0506
AR,2011,ppg,official,bilateral,non-concessional,0
AR,2011,ppg,official,multilateral,concessional,586475141.5
AR,2011,ppg,official,multilateral,non-concessional,741458869.5
AR,2012,ppg,official,bilateral,concessional,7439000
AR,2012,ppg,official,bilateral,non-concessional,0
AR,2012,ppg,official,multilateral,concessional,246673000
AR,2012,ppg,official,multilateral,non-concessional,0
AR,2013,ppg,official,bilateral,concessional,164877352.1
AR,2013,ppg,official,bilateral,non-concessional,0
AR,2013,ppg,official,multilateral,concessional,478738423.9
AR,2013,ppg,official,multilateral,non-concessional,0
AT,2000,ppg,official,bilateral,concessional,
AT,2000,ppg,official,bilateral,non-concessional,
AT,2000,ppg,official,multilateral,concessional,
AT,2000,ppg,official,multilateral,non-concessional,
AT,2001,ppg,official,bilateral,concessional,
AT,2001,ppg,official,bilateral,non-concessional,
AT,2001,ppg,official,multilateral,concessional,
AT,2001,ppg,official,multilateral,non-concessional,
AT,2002,ppg,official,bilateral,concessional,
AT,2002,ppg,official,bilateral,non-concessional,
AT,2002,ppg,official,multilateral,concessional,
AT,2002,ppg,official,multilateral,non-concessional,
AT,2003,ppg,official,bilateral,concessional,
AT,2003,ppg,official,bilateral,non-concessional,
AT,2003,ppg,official,multilateral,concessional,
AT,2003,ppg,official,multilateral,non-concessional,
AT,2004,ppg,official,bilateral,concessional,
AT,2004,ppg,official,bilateral,non-concessional,
AT,2004,ppg,official,multilateral,concessional,
AT,2004,ppg,official,multilateral,non-concessional,
AT,2005,ppg,official,bilateral,concessional,
AT,2005,ppg,official,bilateral,non-concessional,
AT,2005,ppg,official,multilateral,concessional,
AT,2005,ppg,official,multilateral,non-concessional,
AT,2006,ppg,official,bilateral,concessional,
AT,2006,ppg,official,bilateral,non-concessional,
AT,2006,ppg,official,multilateral,concessional,
AT,2006,ppg,official,multilateral,non-concessional,
AT,2007,ppg,official,bilateral,concessional,
AT,2007,ppg,official,bilateral,non-concessional,
AT,2007,ppg,official,multilateral,concessional,
AT,2007,ppg,official,multilateral,non-concessional,
AT,2008,ppg,official,bilateral,concessional,
AT,2008,ppg,official,bilateral,non-concessional,
AT,2008,ppg,official,multilateral,concessional,
AT,2008,ppg,official,multilateral,non-concessional,
AT,2009,ppg,official,bilateral,concessional,
AT,2009,ppg,official,bilateral,non-concessional,
AT,2009,ppg,official,multilateral,concessional,
AT,2009,ppg,official,multilateral,non-concessional,
AT,2010,ppg,official,bilateral,concessional,
AT,2010,ppg,official,bilateral,non-concessional,
AT,2010,ppg,official,multilateral,concessional,
AT,2010,ppg,official,multilateral,non-concessional,
AT,2011,ppg,official,bilateral,concessional,
AT,2011,ppg,official,bilateral,non-concessional,
AT,2011,ppg,official,multilateral,concessional,
AT,2011,ppg,official,multilateral,non-concessional,
AT,2012,ppg,official,bilateral,concessional,
AT,2012,ppg,official,bilateral,non-concessional,
AT,2012,ppg,official,multilateral,concessional,
AT,2012,ppg,official,multilateral,non-concessional,
AT,2013,ppg,official,bilateral,concessional,
AT,2013,ppg,official,bilateral,non-concessional,
AT,2013,ppg,official,multilateral,concessional,
AT,2013,ppg,official,multilateral,non-concessional,
AU,2000,ppg,official,bilateral,concessional,
AU,2000,ppg,official,bilateral,non-concessional,
AU,2000,ppg,official,multilateral,concessional,
AU,2000,ppg,official,multilateral,non-concessional,
AU,2001,ppg,official,bilateral,concessional,
AU,2001,ppg,official,bilateral,non-concessional,
AU,2001,ppg,official,multilateral,concessional,
AU,2001,ppg,official,multilateral,non-concessional,
AU,2002,ppg,official,bilateral,concessional,
AU,2002,ppg,official,bilateral,non-concessional,
AU,2002,ppg,official,multilateral,concessional,
AU,2002,ppg,official,multilateral,non-concessional,
AU,2003,ppg,official,bilateral,concessional,
AU,2003,ppg,official,bilateral,non-concessional,
AU,2003,ppg,official,multilateral,concessional,
AU,2003,ppg,official,multilateral,non-concessional,
AU,2004,ppg,official,bilateral,concessional,
AU,2004,ppg,official,bilateral,non-concessional,
AU,2004,ppg,official,multilateral,concessional,
AU,2004,ppg,official,multilateral,non-concessional,
AU,2005,ppg,official,bilateral,concessional,
AU,2005,ppg,official,bilateral,non-concessional,
AU,2005,ppg,official,multilateral,concessional,
AU,2005,ppg,official,multilateral,non-concessional,
AU,2006,ppg,official,bilateral,concessional,
AU,2006,ppg,official,bilateral,non-concessional,
AU,2006,ppg,official,multilateral,concessional,
AU,2006,ppg,official,multilateral,non-concessional,
AU,2007,ppg,official,bilateral,concessional,
AU,2007,ppg,official,bilateral,non-concessional,
AU,2007,ppg,official,multilateral,concessional,
AU,2007,ppg,official,multilateral,non-concessional,
AU,2008,ppg,official,bilateral,concessional,
AU,2008,ppg,official,bilateral,non-concessional,
AU,2008,ppg,official,multilateral,concessional,
AU,2008,ppg,official,multilateral,non-concessional,
AU,2009,ppg,official,bilateral,concessional,
AU,2009,ppg,official,bilateral,non-concessional,
AU,2009,ppg,official,multilateral,concessional,
AU,2009,ppg,official,multilateral,non-concessional,
AU,2010,ppg,official,bilateral,concessional,
AU,2010,ppg,official,bilateral,non-concessional,
AU,2010,ppg,official,multilateral,concessional,
AU,2010,ppg,official,multilateral,non-concessional,
AU,2011,ppg,official,bilateral,concessional,
AU,2011,ppg,official,bilateral,non-concessional,
AU,2011,ppg,official,multilateral,concessional,
AU,2011,ppg,official,multilateral,non-concessional,
AU,2012,ppg,official,bilateral,concessional,
AU,2012,ppg,official,bilateral,non-concessional,
AU,2012,ppg,official,multilateral,concessional,
AU,2012,ppg,official,multilateral,non-concessional,
AU,2013,ppg,official,bilateral,concessional,
AU,2013,ppg,official,bilateral,non-concessional,
AU,2013,ppg,official,multilateral,concessional,
AU,2013,ppg,official,multilateral,non-concessional,
AZ,2000,ppg,official,bilateral,concessional,265131735.3
AZ,2000,ppg,official,bilateral,non-concessional,165367760.2
AZ,2000,ppg,official,multilateral,concessional,68761591.11
AZ,2000,ppg,official,multilateral,non-concessional,0
AZ,2001,ppg,official,bilateral,concessional,98405845.33
AZ,2001,ppg,official,bilateral,non-concessional,2656259.141
AZ,2001,ppg,official,multilateral,concessional,32471669.38
AZ,2001,ppg,official,multilateral,non-concessional,0
AZ,2002,ppg,official,bilateral,concessional,232636429.3
AZ,2002,ppg,official,bilateral,non-concessional,0
AZ,2002,ppg,official,multilateral,concessional,89905237.26
AZ,2002,ppg,official,multilateral,non-concessional,0
AZ,2003,ppg,official,bilateral,concessional,156029061.1
AZ,2003,ppg,official,bilateral,non-concessional,0
AZ,2003,ppg,official,multilateral,concessional,104576081.6
AZ,2003,ppg,official,multilateral,non-concessional,0
AZ,2004,ppg,official,bilateral,concessional,25527545.33
AZ,2004,ppg,official,bilateral,non-concessional,0
AZ,2004,ppg,official,multilateral,concessional,77974778.22
AZ,2004,ppg,official,multilateral,non-concessional,0
AZ,2005,ppg,official,bilateral,concessional,17418756.44
AZ,2005,ppg,official,bilateral,non-concessional,0
AZ,2005,ppg,official,multilateral,concessional,41415600.98
AZ,2005,ppg,official,multilateral,non-concessional,0
AZ,2006,ppg,official,bilateral,concessional,68909.50849
AZ,2006,ppg,official,bilateral,non-concessional,94741029.1
AZ,2006,ppg,official,multilateral,concessional,56512411.71
AZ,2006,ppg,official,multilateral,non-concessional,223082629.6
AZ,2007,ppg,official,bilateral,concessional,0
AZ,2007,ppg,official,bilateral,non-concessional,0
AZ,2007,ppg,official,multilateral,concessional,43027811.12
AZ,2007,ppg,official,multilateral,non-concessional,0
AZ,2008,ppg,official,bilateral,concessional,34385485.47
AZ,2008,ppg,official,bilateral,non-concessional,0
AZ,2008,ppg,official,multilateral,concessional,24084838.77
AZ,2008,ppg,official,multilateral,non-concessional,0
AZ,2009,ppg,official,bilateral,concessional,0
AZ,2009,ppg,official,bilateral,non-concessional,0
AZ,2009,ppg,official,multilateral,concessional,30039723.54
AZ,2009,ppg,official,multilateral,non-concessional,72008723.69
AZ,2010,ppg,official,bilateral,concessional,121919190.5
AZ,2010,ppg,official,bilateral,non-concessional,0
AZ,2010,ppg,official,multilateral,concessional,162197261.4
AZ,2010,ppg,official,multilateral,non-concessional,0
AZ,2011,ppg,official,bilateral,concessional,126088753.6
AZ,2011,ppg,official,bilateral,non-concessional,0
AZ,2011,ppg,official,multilateral,concessional,110042527.6
AZ,2011,ppg,official,multilateral,non-concessional,0
AZ,2012,ppg,official,bilateral,concessional,124562000
AZ,2012,ppg,official,bilateral,non-concessional,0
AZ,2012,ppg,official,multilateral,concessional,130769000
AZ,2012,ppg,official,multilateral,non-concessional,0
AZ,2013,ppg,official,bilateral,concessional,100761577.1
AZ,2013,ppg,official,bilateral,non-concessional,0
AZ,2013,ppg,official,multilateral,concessional,35006584.98
AZ,2013,ppg,official,multilateral,non-concessional,0
BA,2000,ppg,official,bilateral,concessional,0
BA,2000,ppg,official,bilateral,non-concessional,0
BA,2000,ppg,official,multilateral,concessional,62007874.57
BA,2000,ppg,official,multilateral,non-concessional,23484917.36
BA,2001,ppg,official,bilateral,concessional,0
