id,crisis,year,value-1,value-2
BD,Chittagong Hill Tracts,2015,9,6 or over
BF,Sahel regional crisis,2015,1,1 or over
CD,Affected by humanitarian crisis caused by LRA,2015,3,3 or over
CF,Internal armed conflict,2015,5,3 or over
CM,,2015,2,1 or over
CO,Armed conflict,2015,10,9 or over
DZ,Sahrawi refugee crisis,2015,13,9 or over
EC,Colombian refugees,2015,1,1 or over
EG,Refugee crisis,2015,1,1 or over
GE,Abkhazia,2015,1,1 or over
GN,,2015,1,1 or over
HT,,2015,2,1 or over
ID,,2015,3,3 or over
IN,Conflict affected population,2015,12,9 or over
KE,Somali refugee crisis,2015,1,1 or over
LK,Returning IDPs,2015,2,1 or over
LY,Conflict,2015,1,1 or over
ML,Sahel regional crisis,2015,1,1 or over
MM,Northern Rakhine State and Kachin and Shan State conflict,2015,13,9 or over
MR,Sahel regional crisis,2015,1,1 or over
NE,Sahel regional crisis,2015,1,1 or over
NP,Bhutanese refugees,2015,8,6 or over
PG,,2015,1,1 or over
PH,Mindanao crisis,2015,2,1 or over
PK,"Conflict, IDP crisis",2015,4,3 or over
RU,Chechnya,2015,5,3 or over
SD,"Darfur, refugees, transitional areas, East Sudan",2015,5,3 or over
SO,,2015,2,1 or over
TD,Sahel regional crisis,2015,4,3 or over
TH,Burmese border,2015,7,6 or over
TJ,,2015,1,1 or over
TZ,,2015,1,1 or over
UG,LRA,2015,3,3 or over
VE,Colombian refugees,2015,1,1 or over
YE,"Country-wide conflict affected population, uprooted people, refugees and migrants, acute malnutrition",2015,8,6 or over
