"id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,40.1459854014599,"actual"
"AE",2013,40.7692307692308,"actual"
"AE",2014,37.3648648648649,"actual"
"AE",2015,31.0294117647059,"proj"
"AE",2016,32.536231884058,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,2.66363636363636,"actual"
"AF",2004,4.14634146341463,"actual"
"AF",2005,4.19672131147541,"actual"
"AF",2006,5.98265895953757,"actual"
"AF",2007,6.74473067915691,"actual"
"AF",2008,6.44787644787645,"actual"
"AF",2009,6.82042833607908,"actual"
"AF",2010,8.9185393258427,"actual"
"AF",2011,10.9928229665072,"actual"
"AF",2012,10.1941747572816,"actual"
"AF",2013,9.73214285714286,"actual"
"AF",2014,8.54700854700855,"actual"
"AF",2015,9.5,"proj"
"AF",2016,,"proj"
"AG",2000,15.406427221172,"actual"
"AG",2001,17.1517472474868,"actual"
"AG",2002,18.2971850484541,"actual"
"AG",2003,18.831569664903,"actual"
"AG",2004,19.4600164880462,"actual"
"AG",2005,18.9751206832529,"actual"
"AG",2006,19.836867862969,"actual"
"AG",2007,21.1433496121804,"actual"
"AG",2008,20.5332600329852,"actual"
"AG",2009,18.6981885170402,"actual"
"AG",2010,21.0045662100457,"actual"
"AG",2011,19.6656833824975,"actual"
"AG",2012,20.5656317245619,"actual"
"AG",2013,18.6304750154226,"proj"
"AG",2014,20.6248104337276,"proj"
"AG",2015,22.7352941176471,"proj"
"AG",2016,22.1211259596247,"proj"
"AL",2000,24.1516966067864,"actual"
"AL",2001,23.9786856127886,"actual"
"AL",2002,24.7540983606557,"actual"
"AL",2003,24.188790560472,"actual"
"AL",2004,24.6612466124661,"actual"
"AL",2005,24.6268656716418,"actual"
"AL",2006,25.4295532646048,"actual"
"AL",2007,25.5693581780538,"actual"
"AL",2008,26.5740740740741,"actual"
"AL",2009,25.7894736842105,"actual"
"AL",2010,25.4838709677419,"actual"
"AL",2011,25.1538461538462,"actual"
"AL",2012,24.4360902255639,"actual"
"AL",2013,23.5555555555556,"actual"
"AL",2014,25.6834532374101,"actual"
"AL",2015,25.4861111111111,"actual"
"AL",2016,26.4666666666667,"proj"
"AM",2000,,"actual"
"AM",2001,15.4237288135593,"actual"
"AM",2002,15.3676470588235,"actual"
"AM",2003,14.6296296296296,"actual"
"AM",2004,14.869109947644,"actual"
"AM",2005,15.2678571428571,"actual"
"AM",2006,17.4812030075188,"actual"
"AM",2007,19.3333333333333,"actual"
"AM",2008,20.0560224089636,"actual"
"AM",2009,20.1910828025478,"actual"
"AM",2010,20.4046242774566,"actual"
"AM",2011,20.5555555555556,"actual"
"AM",2012,20.5152224824356,"actual"
"AM",2013,22.3684210526316,"proj"
"AM",2014,21.9461697722567,"proj"
"AM",2015,22.4652087475149,"proj"
"AM",2016,23.8003838771593,"proj"
"AO",2000,,"actual"
"AO",2001,,"actual"
"AO",2002,,"actual"
"AO",2003,,"actual"
"AO",2004,,"actual"
"AO",2005,,"actual"
"AO",2006,50,"actual"
"AO",2007,45.6896551724138,"actual"
"AO",2008,50.9493670886076,"actual"
"AO",2009,34.5575959933222,"actual"
"AO",2010,43.5356200527704,"actual"
"AO",2011,48.8752556237219,"actual"
"AO",2012,45.9090909090909,"actual"
"AO",2013,40.0826446280992,"actual"
