ID,Colour,Detail,source-title,source-link
DZ,Orange,2015,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca-2010/countryinfo/en/
AO,Orange,2015,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
BJ,Red,1992,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
BW,Orange,2015,Statistics Botswana press release,http://www.cso.gov.bw/images/agri_census.pdf
BF,Orange,2010 (planned for 2016),FAO Country information,http://www.fao.org/economic/ess/ess-wca/en/
BI,Grey,No information,,
CM,Green,2013,Statistics Cameroon,http://www.statistics-cameroon.org/news.php?id=125
CV,Green,2014,World Programme for the Census of Agriculture,http://www.fao.org/economic/ess/ess-wca/en/
CF,Grey,No information,,
TD,Orange,2011 (planned for 2014-15),World Programme for the Census of Agriculture,http://www.fao.org/economic/ess/ess-wca/en/
KM,Red,2004,World Programme for the Census of Agriculture,http://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/Country_info_2000/Keydata/Comoros_Keydata.pdf
CG,Green,2014-2015,World Programme for the Census of Agriculture,http://www.fao.org/economic/ess/ess-capacity/countrystathome/congo-launch/en/ and http://www.fao.org/economic/ess/ess-wca/en/
CI,Green,2014,Government press release and World Bank metadata,http://www.agriculture.gouv.ci/index.php?option=com_content&view=article&id=455:lancement-du-recensement-des-exploitants-et-exploitations-agricoles&catid=65:dernieres-actualites&Itemid=90 and http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#
CD,Red,1990,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
DJ,Red,1995,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
EG,Orange,2010,World Bank metadata and World Programme for the Census of Agriculture,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/en/
GQ,Grey,No information,,
ER,Red,No recent census,,
ET,Red,2002,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
GA,Red,1982,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
GM,Green,2012,World Programme for the Census of Agriculture,http://www.fao.org/economic/ess/ess-wca/en/
GH,Green,2014,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
GN,Red,2001,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
GW,Red,1988,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
KE,Red,1979,FAO Country information,http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
LS,Orange,2010,World Bank metadata and FAO Country Information,http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/
