id,year,budget-type,l1,l2,l3,l4,value
d314,2015,budget,administration,revenue,recurrent-revenues,conditional-grant-to-paf-monitoring,34719000
d314,2016,budget,administration,revenue,recurrent-revenues,conditional-grant-to-paf-monitoring,34719000
d314,2015,budget,administration,revenue,recurrent-revenues,district-unconditional-grant-non-wage,80055000
d314,2016,budget,administration,revenue,recurrent-revenues,district-unconditional-grant-non-wage,80055000
d314,2015,budget,administration,revenue,recurrent-revenues,hard-to-reach-allowances,1368760000
d314,2016,budget,administration,revenue,recurrent-revenues,hard-to-reach-allowances,1368760000
d314,2015,budget,administration,revenue,recurrent-revenues,locally-raised-revenues,73569000
d314,2016,budget,administration,revenue,recurrent-revenues,locally-raised-revenues,73569000
d314,2015,budget,administration,revenue,recurrent-revenues,multisectoral-transfers-to-llgs,558494000
d314,2016,budget,administration,revenue,recurrent-revenues,multisectoral-transfers-to-llgs,558494000
d314,2015,budget,administration,revenue,recurrent-revenues,transfer-of-district-unconditional-grant-wage,163619000
d314,2016,budget,administration,revenue,recurrent-revenues,transfer-of-district-unconditional-grant-wage,163619000
d314,2015,budget,administration,revenue,recurrent-revenues,unspent-balances-locally-raised-revenues,0
d314,2016,budget,administration,revenue,recurrent-revenues,unspent-balances-locally-raised-revenues,0
d314,2015,budget,administration,revenue,development-revenues,district-equalisation-grant,25827000
d314,2016,budget,administration,revenue,development-revenues,district-equalisation-grant,25827000
d314,2015,budget,administration,revenue,development-revenues,lgmsd-former-lgdp,438902000
d314,2016,budget,administration,revenue,development-revenues,lgmsd-former-lgdp,438902000
d314,2015,budget,administration,revenue,development-revenues,other-transfers-from-central-government,2037793000
d314,2016,budget,administration,revenue,development-revenues,other-transfers-from-central-government,0
d314,2015,budget,administration,revenue,development-revenues,unspent-balances-conditional-grants,0
d314,2016,budget,administration,revenue,development-revenues,unspent-balances-conditional-grants,0
d314,2015,budget,administration,revenue,development-revenues,unspent-balances-other-government-transfers,0
d314,2016,budget,administration,revenue,development-revenues,unspent-balances-other-government-transfers,0
d314,2015,budget,administration,revenue,development-revenues,urban-equalisation-grant,22923000
d314,2016,budget,administration,revenue,development-revenues,urban-equalisation-grant,22923000
d314,2015,budget,administration,expenditure,recurrent-expenditure,wage,1884026000
d314,2016,budget,administration,expenditure,recurrent-expenditure,wage,1884026000
d314,2015,budget,administration,expenditure,recurrent-expenditure,non-wage,395189000
d314,2016,budget,administration,expenditure,recurrent-expenditure,non-wage,395189000
d314,2015,budget,administration,expenditure,development-expenditure,domestic-development,2525444000
d314,2016,budget,administration,expenditure,development-expenditure,domestic-development,487652000
d314,2015,budget,administration,expenditure,development-expenditure,donor-development,0
d314,2016,budget,administration,expenditure,development-expenditure,donor-development,0
d314,2015,budget,finance,revenue,recurrent-revenues,district-unconditional-grant-non-wage,51687000
d314,2016,budget,finance,revenue,recurrent-revenues,district-unconditional-grant-non-wage,51687000
d314,2015,budget,finance,revenue,recurrent-revenues,locally-raised-revenues,90894000
d314,2016,budget,finance,revenue,recurrent-revenues,locally-raised-revenues,93894000
d314,2015,budget,finance,revenue,recurrent-revenues,transfer-of-district-unconditional-grant-wage,152437000
d314,2016,budget,finance,revenue,recurrent-revenues,transfer-of-district-unconditional-grant-wage,152437000
d314,2015,budget,finance,revenue,recurrent-revenues,unspent-balances-locally-raised-revenues,0
d314,2016,budget,finance,revenue,recurrent-revenues,unspent-balances-locally-raised-revenues,0
d314,2015,budget,finance,expenditure,recurrent-expenditure,wage,152437000
d314,2016,budget,finance,expenditure,recurrent-expenditure,wage,152437000
d314,2015,budget,finance,expenditure,recurrent-expenditure,non-wage,142581000
d314,2016,budget,finance,expenditure,recurrent-expenditure,non-wage,145581000
d314,2015,budget,finance,expenditure,development-expenditure,domestic-development,0
d314,2016,budget,finance,expenditure,development-expenditure,domestic-development,0
d314,2015,budget,finance,expenditure,development-expenditure,donor-development,0
d314,2016,budget,finance,expenditure,development-expenditure,donor-development,0
d314,2015,budget,statutory-bodies,revenue,recurrent-revenues,conditional-grant-to-dsc-chairs-salaries,24523000
