id,colour,detail,source-title,source-link
DZ,Green,Over 75%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems
AO,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
BJ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
BW,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
BF,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
BI,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
CM,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
CV,Orange,"Developing ""model of best practice""",EurActiv Report,http://www.euractiv.com/sections/development-policy/civil-registration-africas-greatest-development-failure-holds-key-her
CF,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
TD,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
KM,Red,No CR data used for vital statistics,UN High Commissioner for Refugees Submission,http://www.refworld.org/pdfid/51b823064.pdf
CG,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
CI,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
CD,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
DJ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
EG,Green,70-90%,Civil Registration and Vital Statistics Assessment Study in Africa,http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf
GQ,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ER,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
ET,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
GA,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
GM,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
GH,Orange,Over 25%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
GN,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
GW,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
KE,Orange,Over 25%,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
LS,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
LR,Red,No CR data used for vital statistics,World Health Organization African Health Observatory,http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg
LY,Red,No CR data used for vital statistics,,
MG,Red,No CR data used for vital statistics,UN High Commissioner for Refugees Submission,http://www.refworld.org/pdfid/51b823064.pdf
