id,year,value,budget-type
AE,2000,,actual
AE,2001,,actual
AE,2002,,actual
AE,2003,,actual
AE,2004,,actual
AE,2005,,actual
AE,2006,,actual
AE,2007,,actual
AE,2008,,actual
AE,2009,,actual
AE,2010,,actual
AE,2011,,actual
AE,2012,33617.6008758174,actual
AE,2013,34364.4666995291,actual
AE,2014,31778.9247250713,actual
AE,2015,20864.7639108969,proj
AE,2016,21380.8702223093,proj
AE,2017,23195.5237773079,proj
AE,2018,25119.7032920135,proj
AE,2019,26592.8249209229,proj
AE,2020,27804.2063154424,proj
AF,2000,,actual
AF,2001,,actual
AF,2002,,actual
AF,2003,5.613662411,actual
AF,2004,10.4136258687,actual
AF,2005,14.026291212,actual
AF,2006,23.682566507,actual
AF,2007,34.9587392334,actual
AF,2008,46.0595852495,actual
AF,2009,54.1984265673,actual
AF,2010,87.6752466801,actual
AF,2011,136.6039437706,actual
AF,2012,164.7119029707,actual
AF,2013,174.0434563661,actual
AF,2014,161.0198772271,actual
AF,2015,183.9726867872,proj
AF,2016,,proj
AF,2017,,proj
AF,2018,,proj
AF,2019,,proj
AF,2020,,proj
AG,2000,2082.5148609069,actual
AG,2001,2332.8259158437,actual
AG,2002,2577.8589820766,actual
AG,2003,2714.7641067266,actual
AG,2004,3108.668425081,actual
AG,2005,3440.7868664787,actual
AG,2006,4082.7705158937,actual
AG,2007,5178.7056675812,actual
AG,2008,5344.3307948084,actual
AG,2009,4315.0651087763,actual
AG,2010,4640.1942962845,actual
AG,2011,4332.6338660994,actual
AG,2012,4971.233900825,actual
AG,2013,4354.5285773838,proj
AG,2014,4730.1209430835,proj
AG,2015,5367.9810002639,proj
AG,2016,5418.7239782173,proj
AG,2017,5696.0276073025,proj
AG,2018,6062.3554943099,proj
AG,2019,6437.9233731608,proj
AG,2020,6845.6837607238,proj
AL,2000,586.1950066015,actual
AL,2001,690.1704321576,actual
AL,2002,796.9858203553,actual
AL,2003,916.9308364831,actual
AL,2004,1051.8382867561,actual
AL,2005,1188.6409199011,actual
AL,2006,1373.6450046203,actual
AL,2007,1611.3547800059,actual
AL,2008,1962.5498590141,actual
AL,2009,2075.2705232395,actual
AL,2010,2342.7324003832,actual
AL,2011,2483.4094978098,actual
AL,2012,2499.770536612,actual
AL,2013,2457.0481995382,actual
AL,2014,2796.8917285633,actual
AL,2015,2892.8375570376,actual
AL,2016,3172.8134023725,proj
AL,2017,3414.7648723727,proj
AL,2018,3748.8310138318,proj
AL,2019,4137.7658978881,proj
AL,2020,4565.8659608213,proj
AL,2021,5039.3470972802,proj
AM,2000,,actual
AM,2001,172.9005560602,actual
AM,2002,201.4446677595,actual
AM,2003,238.8644436184,actual
AM,2004,305.6957791317,actual
AM,2005,381.9924730291,actual
AM,2006,545.139971809,actual
AM,2007,746.5038230011,actual
AM,2008,932.5459386151,actual
AM,2009,850.6038197529,actual
AM,2010,1023.7393822701,actual
AM,2011,1174.162266349,actual
AM,2012,1390.9268754096,actual
AM,2013,1666.7680054999,proj
AM,2014,1767.6504148329,proj
AM,2015,1906.4016054484,proj
AM,2016,2091.757623618,proj
AM,2017,,proj
AM,2018,,proj
AM,2019,,proj
AM,2020,,proj
AO,2000,,actual
AO,2001,,actual
AO,2002,,actual
AO,2003,,actual
AO,2004,,actual
AO,2005,,actual
AO,2006,630.1082581337,actual
AO,2007,868.7551700302,actual
AO,2008,1528.4194004926,actual
AO,2009,883.9877349387,actual
AO,2010,1672.0949548267,actual
AO,2011,2921.6507104621,actual
AO,2012,3213.8925027,actual
AO,2013,3068.7368815002,actual
AO,2014,2668.2790356736,proj
