id,colour,detail,source-title,source-link
AO,Grey,No information,WHO African Health Observatory,"http://www.aho.afro.who.int/profiles_information/index.php/Angola:Health_information,_research,_evidence_and_knowledge"
BF,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
BI,Orange,Partial,DHIS 2,https://www.dhis2.org/deployments
BJ,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
BW,Grey,No information,,
CD,Orange,Partial,DHIS 2,https://www.dhis2.org/deployments
CF,Grey,No information,,
CG,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
CI,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
CM,Grey,No information,,
CV,Grey,No information,,
DJ,Grey,No information,,
DZ,Orange,Partial,DHIS 2,https://www.dhis2.org/deployments
EG,Grey,No information,,
EH,Grey,No information,,
ER,Grey,No information,,
ET,Grey,No information,,
GA,Grey,No information,,
GH,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
GM,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
GN,Grey,No information,,
GQ,Grey,No information,,
GW,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
KE,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
KM,Grey,No information,,
LR,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
LS,Grey,No information,,
LY,Grey,No information,,
MA,Grey,No information,,
MG,Grey,No information,,
ML,Grey,No information,,
MR,Grey,No information,,
MU,Grey,No information,,
MW,Orange,Partial,DHIS 2,https://www.dhis2.org/deployments
MZ,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
NA,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
NE,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
NG,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
RW,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
SC,Grey,No information,,
SD,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
SL,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
SN,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
SO,Grey,No information,,
SS,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
ST,Grey,No information,,
SZ,Grey,No information,,
TD,Grey,No information,,
TG,Orange,Pilot,DHIS 2,https://www.dhis2.org/deployments
TN,Grey,No information,,
TZ,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
UG,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
ZA,Orange,Partial,DHIS 2,https://www.dhis2.org/deployments
ZM,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
ZW,Green,Functioning,DHIS 2,https://www.dhis2.org/deployments
