id,parent,oda-oof-flow,year,value
adaptation-fund,Adaptation Fund,oda,2010,22345133.14
adaptation-fund,Adaptation Fund,oda,2011,46033361.36
adaptation-fund,Adaptation Fund,oda,2012,23840000.00
adaptation-fund,Adaptation Fund,oda,2013,6770676.92
adaptation-fund,Adaptation Fund,oda,2014,13085492.71
afdb,African Development Bank and Fund,oda,2001,109059359.43
afdb,African Development Bank and Fund,oda,2002,148319634.77
afdb,African Development Bank and Fund,oda,2003,111991157.27
afdb,African Development Bank and Fund,oda,2004,181159631.36
afdb,African Development Bank and Fund,oda,2005,195038885.33
afdb,African Development Bank and Fund,oda,2006,209656219.06
afdb,African Development Bank and Fund,oda,2007,187806257.04
afdb,African Development Bank and Fund,oda,2008,179729968.13
afdb,African Development Bank and Fund,oda,2009,175312187.33
afdb,African Development Bank and Fund,oda,2010,132296057.67
afdb,African Development Bank and Fund,oda,2011,122384235.86
afdb,African Development Bank and Fund,oda,2012,114440000.00
afdb,African Development Bank and Fund,oda,2013,142333349.21
afdb,African Development Bank and Fund,oda,2014,136144596.39
afdf,African Development Bank and Fund,oda,2000,530075972.43
afdf,African Development Bank and Fund,oda,2001,814926546.89
afdf,African Development Bank and Fund,oda,2002,1229612303.30
afdf,African Development Bank and Fund,oda,2003,890511606.87
afdf,African Development Bank and Fund,oda,2004,1382675312.16
afdf,African Development Bank and Fund,oda,2005,1268720849.71
afdf,African Development Bank and Fund,oda,2006,11031689832.78
afdf,African Development Bank and Fund,oda,2007,1753529592.31
afdf,African Development Bank and Fund,oda,2008,1780509599.08
afdf,African Development Bank and Fund,oda,2009,3153721781.53
afdf,African Development Bank and Fund,oda,2010,2373451677.99
afdf,African Development Bank and Fund,oda,2011,2178912437.50
afdf,African Development Bank and Fund,oda,2012,2433520000.00
afdf,African Development Bank and Fund,oda,2013,2263374658.75
afdf,African Development Bank and Fund,oda,2014,1991293025.64
arab-fund-afesd,Arab Fund,oda,2008,1076026153.77
arab-fund-afesd,Arab Fund,oda,2009,927114421.10
arab-fund-afesd,Arab Fund,oda,2010,1067377089.09
arab-fund-afesd,Arab Fund,oda,2011,812650091.29
arab-fund-afesd,Arab Fund,oda,2012,854750000.00
arab-fund-afesd,Arab Fund,oda,2013,892039170.02
arab-fund-afesd,Arab Fund,oda,2014,876549708.23
asdb-special-funds,Asian Development Bank,oda,2000,1672260853.59
asdb-special-funds,Asian Development Bank,oda,2001,1600023566.41
asdb-special-funds,Asian Development Bank,oda,2002,1749569665.90
asdb-special-funds,Asian Development Bank,oda,2003,1500280785.82
asdb-special-funds,Asian Development Bank,oda,2004,1311091744.03
asdb-special-funds,Asian Development Bank,oda,2005,1516740937.57
asdb-special-funds,Asian Development Bank,oda,2006,1707713700.65
asdb-special-funds,Asian Development Bank,oda,2007,1884071347.90
asdb-special-funds,Asian Development Bank,oda,2008,2364784171.49
asdb-special-funds,Asian Development Bank,oda,2009,2924721416.28
asdb-special-funds,Asian Development Bank,oda,2010,2002738342.80
asdb-special-funds,Asian Development Bank,oda,2011,1895909887.30
asdb-special-funds,Asian Development Bank,oda,2012,1834770000.00
asdb-special-funds,Asian Development Bank,oda,2013,2680362853.73
asdb-special-funds,Asian Development Bank,oda,2014,2771212165.06
badea,Arab Bank for Economic Development in Africa,oda,2000,83535694.81
badea,Arab Bank for Economic Development in Africa,oda,2001,105582869.25
badea,Arab Bank for Economic Development in Africa,oda,2004,109358410.49
badea,Arab Bank for Economic Development in Africa,oda,2005,106408315.51
badea,Arab Bank for Economic Development in Africa,oda,2006,125573427.18
badea,Arab Bank for Economic Development in Africa,oda,2007,157485369.39
badea,Arab Bank for Economic Development in Africa,oda,2008,142943963.14
badea,Arab Bank for Economic Development in Africa,oda,2009,139352325.92
badea,Arab Bank for Economic Development in Africa,oda,2010,129421184.52
badea,Arab Bank for Economic Development in Africa,oda,2011,93855280.06
badea,Arab Bank for Economic Development in Africa,oda,2012,122010000.00
badea,Arab Bank for Economic Development in Africa,oda,2013,131754787.91
badea,Arab Bank for Economic Development in Africa,oda,2014,124802515.27
cardb,Caribbean Development Bank,oda,2000,52773343.71
cardb,Caribbean Development Bank,oda,2001,77134625.92
cardb,Caribbean Development Bank,oda,2002,169570196.33
cardb,Caribbean Development Bank,oda,2003,56575570.51
cardb,Caribbean Development Bank,oda,2004,68983827.05
cardb,Caribbean Development Bank,oda,2005,52382743.76
cardb,Caribbean Development Bank,oda,2006,54364665.38
cardb,Caribbean Development Bank,oda,2007,62825816.76
cardb,Caribbean Development Bank,oda,2008,84630130.63
cardb,Caribbean Development Bank,oda,2009,89302069.83
cardb,Caribbean Development Bank,oda,2010,78327319.93
cardb,Caribbean Development Bank,oda,2011,69949207.48
cardb,Caribbean Development Bank,oda,2012,63740000.00
cardb,Caribbean Development Bank,oda,2013,91140668.64
cardb,Caribbean Development Bank,oda,2014,112133063.96
ceb,Council of Europe Development Bank,oda,2010,43112718.56
ceb,Council of Europe Development Bank,oda,2011,129538465.27
ceb,Council of Europe Development Bank,oda,2012,95300000.00
ceb,Council of Europe Development Bank,oda,2013,121126515.33
ceb,Council of Europe Development Bank,oda,2014,76452560.75
cif,Climate Investment Funds,oda,2013,150615249.18
cif,Climate Investment Funds,oda,2014,346919095.95
ebrd,European Bank for Reconstruction and Development,oda,2000,6850810.95
ebrd,European Bank for Reconstruction and Development,oda,2001,26290957.01
ebrd,European Bank for Reconstruction and Development,oda,2002,65743456.85
ebrd,European Bank for Reconstruction and Development,oda,2003,69533116.13
ebrd,European Bank for Reconstruction and Development,oda,2004,64654955.87
ebrd,European Bank for Reconstruction and Development,oda,2005,58320393.48
ebrd,European Bank for Reconstruction and Development,oda,2006,12690443.21
ebrd,European Bank for Reconstruction and Development,oda,2007,8491127.01
ebrd,European Bank for Reconstruction and Development,oda,2008,7213141.08
EU,EU Institutions,oda,2000,8178368579.01
EU,EU Institutions,oda,2001,10191651779.75
EU,EU Institutions,oda,2002,8786775973.48
EU,EU Institutions,oda,2003,8700503183.78
EU,EU Institutions,oda,2004,9706931800.68
EU,EU Institutions,oda,2005,10308832199.11
EU,EU Institutions,oda,2006,11254072272.12
EU,EU Institutions,oda,2007,11377725498.30
EU,EU Institutions,oda,2008,11926700812.03
EU,EU Institutions,oda,2009,12506232303.99
EU,EU Institutions,oda,2010,12536825700.89
EU,EU Institutions,oda,2011,16789559743.16
EU,EU Institutions,oda,2012,18081520000.00
EU,EU Institutions,oda,2013,16391800128.07
EU,EU Institutions,oda,2014,17496968801.95
fao,Food and Agriculture Organisation,oda,2013,449151395.92
