series,id,type,parent,name,columns,description,default-scale,themes,map-theme,theme-order,global-picture-color-ramp,uom,uom_display,source,calculation,format,highorlow,range,interpolated,missing-donor,missing-recipient,laymans-decription,laymans-heading,source-link,staging,theme-year
country-year,warehouse/oda_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/oda_per_capita_excl_non_transfer_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/oda_per_poor_person_2012,simple,,"ODA per person living on under $1.90 a day, US$","id, year, value",Gross ODA received per person living under $1.90 a day,log,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,"100, 250, 1000, 5000, 500000",,NR,NA,"Official development assistance (ODA) per poor person, calculated as the total net ODA received by a country divided by the number of people in that country living on less than $1.90 per day.","ODA per person living on under $1.90 a day, US$",,,
country-year,warehouse/oda_per_poor_person_2015,simple,,"ODA per person living on under $1.90 a day, US$","id, year, value",Gross ODA received per person living under $1.90 a day,log,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,"100, 250, 1000, 5000, 500000",,NR,NA,"Official development assistance (ODA) per poor person, calculated as the total net ODA received by a country divided by the number of people in that country living on less than $1.90 per day.","ODA per person living on under $1.90 a day, US$",,,
country-year,warehouse/oda_per_poor_person_excl_non_transfer_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_bundle_2015,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/oda_revenue_poverty,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d14_region,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/intl_resource_mix_by_region,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d15_depth_of_poverty,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d15_flow,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/intl_resource_flows_targeting,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/disbursement_by_region_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/donor_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/gni_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/loans_grants_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/oda_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/recipient_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/sectors_over_time_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/purpose_by_bundle,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/purpose_trend,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_purpose_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_purpose_by_parent,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_sector_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/sector_by_purpose_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/south_south_cooperation/bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/south_south_cooperation/recipient_and_region_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/data_series/intl_flows_donors,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/intl_outflows_donors,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,spotlight-on-kenya/kenya-births-pc-skilled,simple,,Percent of births delivered by a skilled provider,"id, year, value",Percent of live births in the five years preceding the survey delivered by skilled providers,lin,kenya-health,kenya-health,12,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"40, 50, 60, 70",,NA,NA,Percent of live births in the five years preceding the survey delivered by skilled providers,Percent of births delivered by a skilled provider,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-electricity,simple,,Access to electricity,"id, year, value",Access to electricity,lin,kenya-infra,kenya-infra,1,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"5, 7.5, 10, 12.5",,NA,NA,Access to electricity,Access to electricity,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-electricity-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-infra,,,purple,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
